Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #34	12 May 2022	thirty4	42	83	http://smash.gg/tournament/advantage-state-34/event/ultimate-singles	https://braacket.com/tournament/CCC5D739-4F08-4EF3-8497-5259DB7CF2F0
Placement	Tag	Alt
1	thirty4	thirty4
2	Lucky	Lucky
3	Failbot	Rad | Failbot
4	Hunter	Hunter
5	loaf	loaf
5	Violet	Mid-Sized Sedan
7	DatDerpDog	DatDerpDog
7	Drip	Drip
9	Dadzie	Dadzie
9	Ehis	Ehis
9	Aurokon	G | Aurokon
9	Meatflap	Meatflap
13	Chan	Chan
13	Flax	Flax
13	Kareem	TheCoolestPersonHere
13	Yungsavage	Yungsavage
17	ADDICT	<3 | ADDICT
17	BarbNation	BarbNation
17	Blaze	BlazeK114
17	Llomomo	BTL | Llomomo
17	Camus	Camus
17	The Ashen Dragoon	The Ashen Dragoon
17	Tosty	Tosty
17	Franzwa	Visitor
25	AllDay	AllDay
25	Haus	Haus
25	MilkTea	MilkTea
25	MN Strider	MN Strider
25	NAF	NAF
25	Natchy	Natchy
25	REAVER	RAGE
25	Spritemare	Spritemare
33	Bradyboo	Bradyboo
33	mitskileaks	mitskileaks
33	MrDudeIII	MrDudeIII
33	Phantom	Phantom
33	Pony	Pony
33	Razzi	Razzi
33	SaintCD	SaintCD
33	SamCWill	SamCWill
33	A Shape	Shape
33	spitz	spitz
