Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #35	19 May 2022	Maya	50	99	http://smash.gg/tournament/advantage-state-35/event/ultimate-singles	https://braacket.com/tournament/9A51870E-777C-45E0-B8A4-28249A8E5C9B
Placement	Tag	Alt
1	Maya	Mirai
2	Failbot	Rad | Failbot
3	Aura Wolf	Aura Wolf
4	DatDerpDog	DatDerpDog
5	Hunter	Hunter
5	Stealth_Pilot	Stealth_Pilot
7	Lucky	Lucky
7	Violet	Violet
9	Chan	Chan
9	Hype2Hard	Hype2Hard
9	Capital G	Jimbo
9	Vomit	Vomit
13	Meatflap	Meatflap
13	MN Aero	Pac | MN Aero
13	VinnyTea	VinnyTea
13	Franzwa	Visitor
17	Ehis	Ehis | Ehis
17	LILSB	FV | LILSB
17	GAY LORD	GAY LORD
17	REAVER	RAGE
17	Rush	Rush
17	Raven	TacoGuyy
17	The Ashen Dragoon	The Ashen Dragoon
17	Dab Pen	TSM | Dab Pen
25	AllDay	AllDay
25	Arcato	Arcato
25	Llomomo	BTL | Llomomo
25	Haus	Haus
25	BIG WILL	MADVILLAIN | BIG WILL
25	OzMockman	OzMockman
25	spitz	spitz
25	Uckle!	Uckle!
33	Altaria	Altaria
33	Blaze	BlazeK114
33	Wilk	CF | Wilk
33	Drip	Drip
33	Faucet	Faucet
33	LaFever	LaFever
33	Myewps	Myewps
33	Pony	Pony
33	Razzi	Razzi
33	Roll	Roll
33	SaintCD	SaintCD
33	SeanVGM	SeanVGM
33	A Shape	Shape
33	Shrumble	Shrumble
33	WalMarth	WalMarth
33	wish	wish
49	Duncanlomp	Duncanlomp
49	trippybutter	trippybutter
