Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #37	02 June 2022	GodIMissHer	61	120	http://smash.gg/tournament/advantage-state-37/event/ultimate-singles	https://braacket.com/tournament/DD8984DE-9AE5-4A95-BDE2-9EB81CBDE0CF
Placement	Tag	Alt
1	GodIMissHer	Bubblewrap
2	loaf	loaf
3	Lucky	Lucky
4	Failbot	Rad | Failbot
5	AllDay	AllDay
5	DatDerpDog	DatDerpDog
7	Raven	TacoGuyy
7	Violet	Violet
9	Bubswah	Bubswah
9	Ehis	Ehis | Ehis
9	Meatflap	Meatflap
9	Franzwa	Visitor
13	Drip	Drip
13	Faucet	Faucet
13	Motionz	Motionz
13	Phantom	Phantom
17	Hunter	Hunter
17	Jackypoo	Jackypoo
17	Kden	Kden
17	Limbo	Limbo
17	MN Aero	Pac | MN Aero
17	Spritemare	Spritemare
17	The Ashen Dragoon	The Ashen Dragoon
17	Uckle!	Uckle!
25	Fette	Fette
25	GAY LORD	GAY LORD
25	Haus	Haus
25	Hunna	Hunna
25	Rush	Rush
25	sans.	sans. | sans.
25	spiNR	spiNR
25	spitz	spitz
33	//JumpMan//	//JumpMan//
33	Blaze	BlazeK114
33	Chan	Chan
33	FalconPunch25	FalconPunch25
33	FriedBagel	FriedBagel
33	JohnnyJah	JohnnyJah
33	lunchtime	lunchmeat
33	BIG WILL	MADVILLAIN | BIG WILL
33	Mailiam	Mailiam
33	Pony	Pony
33	Gamespeer	Quandale_Dingle
33	Razzi	Razzi
33	RocketX1	RocketX1
33	Roll	Roll
33	A Shape	Shape
33	WhatsAKingToAGod	WhatsAKingToAGod
49	Bradyboo	Bradyboo
49	CrystlMath	CoolMathGames | CrystlMath
49	dabe	dabe
49	Ethan_5_	Ethan_5_
49	LOU	LOU
49	MeteorBarrage	MeteorBarrage
49	mitskileaks	mitskileaks
49	MrDudeIII	MrDudeIII
49	NIKANA	NIKANA
49	BIG PHARMA	PHDpretty
49	SaintCD	SaintCD
49	Scrub	Scrub
49	TES	TES
