Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #38	09 June 2022	GodIMissHer	52	101	http://start.gg/tournament/advantage-state-38/event/ultimate-singles	https://braacket.com/tournament/167D4A78-4BC0-4BDC-980E-253E24E8B7C4
Placement	Tag	Alt
1	GodIMissHer	BubbleWrap
2	Truth	IKON | Intermediate Crip Walker
3	Hunter	Hunter
4	loaf	loaf
5	Failbot	Rad | Failbot
5	Vomit	Vomit
7	Meatflap	Meatflap
7	Yungsavage	Yungsavage
9	DatDerpDog	DatDerpDog
9	Maya	Mirai
9	The Ashen Dragoon	The Ashen Dragoon
9	Ventura	Ventura
13	AllDay	AllDay
13	Blaze	BlazeK114
13	Llomomo	BTL | Llomomo
13	sans.	sans. | sans.
17	Bubswah	Bubswah
17	Chan	Chan
17	Drip	Drip
17	Faucet	Faucet
17	Capital G	Jimbo
17	Senam	Senam
17	spitz	spitz
17	Violet	Violet
25	Dadzie	Dadzie
25	Disco	Dsco
25	Hunna	Hunna
25	Mime	Mime
25	Camden	NC-17 | Camden
25	REAVER	RAGE
25	Roll	Roll
25	Dab Pen	TSM | Dab Pen
33	Wilk	CF | Wilk
33	darkdoger	darkdoger
33	GAY LORD	GAY LORD
33	Haus	Haus
33	Jackypoo	Jackypoo
33	JohnnyJah	JohnnyJah
33	Abnormal	M | Abnormal
33	BIG WILL	MADVILLAIN | BIG WILL
33	Mailiam	Mailiam
33	NAF	NAF
33	Pony	Pony
33	Razzi	Razzi
33	Rush	Rush
33	SaintCD	SaintCD
33	Spritemare	Spritemare
33	Zaech	Zaech
49	Arcato	Arcato
49	Motionz	Motionz
49	BIG PHARMA	PHDpretty
49	studentX	studentX
