Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #39	16 June 2022	GodIMissHer	64	126	http://start.gg/tournament/advantage-state-39/event/ultimate-singles	https://braacket.com/tournament/64774A2B-01F1-4DF6-A1E5-E42DDB20F3BB
Placement	Tag	Alt
1	GodIMissHer	BubbleWrap
2	Maya	Mirai
3	Lucky	Lucky
4	Failbot	Rad | Failbot
5	Truth	IKON | Intermediate Crip Walker
5	Ventura	Ventura
7	PinkShirtGuy	BRAVO | PinkShirtGuy
7	Dadzie	Dadzie
9	Vivian	fem | Vivian
9	Hunter	Hunter
9	Kareem	Kareem
9	stevenshark	stevenshark
13	AllDay	AllDay
13	Chan	Chan
13	Senam	Senam
13	Raven	TacoGuyy
17	Aura Wolf	Aura Wolf
17	Blaze	BlazeK114
17	Carrfam	Carrfam
17	Drip	Drip
17	Ehis	Ehis
17	Meatflap	Meatflap
17	Rayne!	ROT | Rayne!
17	SeanVGM	SeanVGM
25	BIG WILL	MADVILLAIN | BIG WILL
25	ori0n	ori0n
25	Phantom	Phantom
25	REAVER	RAGE
25	SaintCD	SaintCD
25	sans.	sans. | sans.
25	SULRoY	SOG | SULRoY
25	Yungsavage	Yungsavage
33	BarbNation	BarbNation
33	Bubswah	Bubswah
33	DeathMelon	DeathMelon
33	Disco	Dsco
33	Gains	Gains
33	Gay Plant	Gay Plant
33	Limbo	Limbo
33	Me	Me
33	Pony	Pony
33	Razzi	Razzi
33	Shaeffen	Shaeffen
33	skippychompy	skippychompy (VDC)
33	spitz	spitz
33	Spritemare	Spritemare
33	studentX	studentX
33	Violet	Walmarth's Amiibos
49	dabe	dabe
49	Potica	Fortnite_Bootyballs
49	Jackypoo	Jackypoo
49	JKDhero	JKDhero
49	JohnnyJah	JohnnyJah
49	LaFever	LaFever
49	Myewps	Myewps
49	NAF	NAF
49	NIKANA	NIKANA
49	BIG PHARMA	PHDpretty
49	Gamespeer	Quandale_Dingle
49	RocketX1	RocketX1
49	Roll	Roll
49	Tapeworm	Tapeworm
49	WEET THINS	WEET THINS
49	Wagon	Zzz | Wagon
