Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #42	07 July 2022	GodIMissHer	48	94	http://start.gg/tournament/advantage-state-42/event/ultimate-singles	https://braacket.com/tournament/B4D4AEB9-FB22-4B79-B5C5-1E60FF62CCD5
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	thirty4	thirty4
3	loaf	loaf
4	Lucky	Lucky
5	Truth	Abat
5	Dadzie	Dadzie
7	Violet	GOMLa Harris
7	sans.	sans. | sans.
9	Llomomo	BTL | Llomomo
9	Ehis	Ehis
9	Meatflap	Meatflap
9	Maya	Mirai
13	AllDay	AllDay
13	Drip	Drip
13	Jslat	Jslat
13	MN Aero	Pac | MN Aero
17	Faucet	Faucet
17	Jackypoo	Jackypoo
17	Libero	Libero
17	Limbo	Limbo
17	Camden	NC-17 | Camden
17	Spritemare	Spritemare
17	The Ashen Dragoon	The Ashen Dragoon
17	Yungsavage	Yungsavage
25	//JumpMan//	//JumpMan//
25	Blaze	BlazeK114
25	Chan	Chan
25	Chozen!	Chozen!
25	Phantom	Phantom
25	Razzi	Razzi
25	Roll	Roll
25	Rush	Rush
33	AstraFry	AstraFry
33	D34D_M4N14C	D34D_M4N14C
33	Haus	Haus
33	JohnnyJah	JohnnyJah
33	LaFever	LaFever
33	Mailiam	Mailiam
33	Merten	Merten
33	Myewps	Myewps
33	Nooper	Nooper
33	Pestilence	Pestilence
33	BIG PHARMA	PhDpretty
33	REAVER	REAVER
33	SaintCD	SaintCD
33	spitz	spitz
33	ssjneo	ssjneo
33	Vetta	Vetta
