Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #44	21 July 2022	GodIMissHer	48	95	http://start.gg/tournament/advantage-state-44/event/ultimate-singles	https://braacket.com/tournament/398BF760-B02B-4113-B8CA-2E52C6D4148C
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Maya	Maya
3	Violet	Maspandey
4	Failbot	Rad | Failbot
5	Dadzie	Dadzie
5	Vomit	Vomit
7	Franzwa	Franzwa
7	Aurokon	G | Aurokon
9	AllDay	AllDay
9	Chan	Chan
9	Lucky	Lucky
9	stevenshark	stevenshark
13	BarbNation	BarbNation
13	Bubswah	Bubswah
13	MintyGuy700	MintyGuy700
13	Phantom	Phantom
17	Drip	Drip
17	Jackypoo	Employed Smasher
17	Faucet	Faucet
17	Mailiam	Mailiam
17	MN Aero	Pac | MN Aero
17	Ronin	Ronin
17	sans.	sans. | sans.
17	Yungsavage	Yungsavage
25	D34D_M4N14C	D34D_M4N14C
25	DaneReich	DaneReich
25	Crime Sunday	Gus
25	Pestilence	Pestilence
25	Pignite	Pignite
25	Privé	Privé
25	Rush	Rush
25	Dab Pen	TSM | Dab Pen
33	a worm	a worm
33	Alterchemist	Alterchemist
33	Blaze	BlazeK114
33	dabe	dabe
33	GroeneVis	GroeneVis
33	Hunna	Hunna
33	LaFever	LaFever
33	leviathan	leviathan
33	Razzi	Razzi
33	RisingWalsh	RisingWalsh
33	Roll	Roll
33	SaintCD	SaintCD
33	skippychompy	skippychompy (VDC)
33	spitz	spitz
33	ssjneo	ssjneo
33	WhatsAKingToAGod	WhatsAKingToAGod
