Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #46	04 August 2022	GodIMissHer	60	118	http://start.gg/tournament/advantage-state-46/event/ultimate-singles	https://braacket.com/tournament/E2952C44-26F2-4386-B17B-1CD7032B2464
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Luma	mok | Luma
3	Vivian	fem | Vivian
4	Lucky	Lucky
5	Maya	Maya
5	Truth	Resident Fraud
7	Thor	BigOninFan
7	Ventura	Ventura
9	Carrfam	Carrfam
9	Drip	Drip
9	Kingdra	KPG | Kingdra
9	Meatflap	Meatflap
13	Blaze	BlazeK114
13	Chan	Chan
13	Clifford	Clifford
13	Senam	Senam
17	Dadzie	Dadzie
17	darkdoger	darkdoger
17	Daxe	Daxe
17	Haus	Haus
17	Capital G	jimbo
17	Reverbo	Reverbo
17	Spritemare	Spritemare
17	Yungsavage	Yungsavage
25	BarbNation	BarbNation
25	Bubswah	Bubswah
25	Jackypoo	Employed Smasher
25	Eth	Eth
25	Faucet	Faucet
25	lumenessence	lumenessence
25	lunchtime	lunchtime
25	Quank	Quank
33	Chozen!	Chozen!
33	D34D_M4N14C	D34D_M4N14C
33	Disco	Dsco
33	Hammy	Hammy
33	icymcspicy	icymcspicy
33	JustHANO	JustHANO
33	KQNK	KQNK
33	Maynnaise	Maynnaise
33	BIG PHARMA	PhDpretty
33	Pony	Pony
33	Roll	Roll
33	Rush	Rush
33	sans.	sans. | sans.
33	spitz	spitz
33	studentX	studentX
33	Verse	Verse
49	a worm	a worm
49	Divine	Divine
49	DykeLord	DykeLord
49	Gummy	Gummy
49	LaFever	LaFever
49	Myewps	Myewps
49	PackJendleton	PackJendleton
49	Razzi	Razzi
49	A Shape	Shape
49	skippychompy	skippychompy (VDC)
49	TacTac	TacTac
49	WEET THINS	WEET THINS
