Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #53	22 September 2022	loaf	56	110	http://start.gg/tournament/advantage-state-53/event/ultimate-singles	https://braacket.com/tournament/C59005D5-2C6A-47D8-BC33-582EA458C6EA
Placement	Tag	Alt
1	loaf	loaf
2	GodIMissHer	Kasmir
3	Lucky	Lucky
4	Thor	BigOninFan
5	Vivian	fem | Vivian
5	Hunter	Hunter
7	Truth	Abat v2
7	Aurokon	G | Aurokon
9	Dadzie	Dadzie
9	Drip	Drip
9	Capital G	Jimbo
9	MN Aero	Pac | MN Aero
13	AllDay	AllDay
13	Chan	Chan
13	Limbo	Limbo
13	Yungsavage	Yungsavage
17	Mistral	BAD | Mistral
17	DNA	BIG DMG | DNA
17	Llomomo	BTL | Llomomo
17	Cranky	Cranky
17	kogame	GH | | kogame
17	sans.	sans. | sans.
17	SeanVGM	SeanVGM
17	Spritemare	Spritemare
25	HurryCaine	HurryCaine
25	lunchtime	Lunchtime
25	Pestilence	Pestilence
25	Roll	Roll
25	Rush	Rush
25	SaintCD	SaintCD
25	Blaze	tcmBlazeK
25	WhatsAKingToAGod	WhatsAKingToAGod
33	BarbNation	BarbNation
33	BigJayhawk	BigJayhawk
33	Ragnarok	CH Rider
33	Drewbacca	Drewbaca
33	Eth	Eth
33	Fette	Fette
33	Fishbowl	Fishbowl
33	geeb	geeb
33	Gummy	Gummy
33	Grady	Gwady
33	A Shape	Shape
33	spitz	spitz
33	Jackypoo	The Allegations
33	The Poop Lord	The Poop Lord
33	Treyara	Treyara
33	Dab Pen	TSM | Dab Pen
49	B00ber_Man	B00ber_Man
49	Evil doer	evildoer
49	FriedBagel	Friedbagel
49	icymcspicy	icymcspicy
49	Jard	Jard
49	PJ	Moist | KILLER B
49	Razzi	Razzi
49	Stringz	Stringz
