Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #55	20 January 2023	thirty4	80	156	http://start.gg/tournament/advantage-state-55/event/ultimate-singles	https://braacket.com/tournament/EE568E1C-1304-4B09-AAE8-56B76DC2ECEE
Placement	Tag	Alt
1	thirty4	NVR | Candle
2	GodIMissHer	GodIMissHer
3	Hunter	Hunter
4	Meatflap	Meatflap
5	Vivian	22 | BIG SWIFTIE
5	Neet	check ur gmail
7	Aurokon	G | Degeneroar
7	Violet	Phantom Thieves
9	Ehis	Ehis
9	Maya	Maya
9	Shrumble	Shrumble
9	Stealth_Pilot	Stealth_Pilot
13	Mistral	BAD | Mistral
13	Dadzie	Dadzie
13	Drip	Drip
13	Kareem	My Back Hurts
17	ADDICT	<3 | ADDICT
17	Limbo	Bing bong it's limbong
17	Llomomo	BTL | Llomomo
17	Cranky	Cranky
17	Disco	Cringe Ass Nae Nae Baby
17	Flax	Flax
17	MN Aero	Pac | MN Aero
17	Rayne!	Rayne!
25	awert	awert
25	BarbNation	BarbNation
25	Capital G	Capital G
25	Chan	Chan
25	DatDerpDog	DatDerpDog
25	Pestilence	Pestilence
25	Phantom	Phantom
25	Blaze	tcmBlazeK
33	BIG WILL	A!R | BIG WILL
33	bokobo	bokobo
33	CmB	CmB
33	Fette	Fette
33	Franzwa	Franzwa
33	Treyara	GDN | Treyara
33	Haus	Haus
33	Senam	Kareem Esports | Senam
33	Kelkador	Kelkador
33	Mailiam	maiL
33	MN Strider	MN Strider
33	Natchy	Natchy
33	sans.	sans. | sans.
33	Spritemare	Spritemare
33	SWAG	Swag
33	Zeboz	Zeboz
49	BIG PHARMA	BIG PHARMA
49	BigJayhawk	BigJayhawk
49	Delectron	Delectron
49	Eth	Eth
49	Gummy	GG | Gummy
49	八	Hachi
49	lunchtime	lunchtime
49	Reverbo	Reverbo
49	Rush	Rush
49	SaintCD	SaintCD
49	ssjneo	ssjneo
49	studentX	studentX
49	teakay	teakay
49	WEET THINS	WEET THINS
49	WhatsAKingToAGod	WhatsAKingToAGod
49	Zurvan	Zurvan
65	Augustus	Augustus
65	data	Data
65	FriedBagel	FriedBagel
65	Hollywood	Hollywood
65	Hunterb0915	Hunterb0915
65	LaFever	LaFever
65	lotuskosal	lotuskosal
65	MintyGuy700	MintyGuy700
65	PJ	Moist | PJ
65	Noice	Noice
65	ori0n	ori0n
65	Pony	Pony
65	Privé	Privé
65	Razzi	Razzi
65	Scorpiax	Scorpiax
65	TG_Link	TG_Link
