Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #56	27 January 2023	Vivian	53	104	http://start.gg/tournament/advantage-state-56/event/ultimate-singles	https://braacket.com/tournament/E197BCC9-402A-443E-AB4B-0BC2C7C16947
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	Neet	check ur gmail
3	Hunter	Hunter
4	GodIMissHer	GodIMissHer
5	Dadzie	Dadzie
5	Kareem	My Back Hurts
7	Mistral	BAD | Mistral
7	Ehis	Ehis
9	ADDICT	<3 | ADDICT
9	awert	awert
9	Drip	Drip
9	Meatflap	Meatflap
13	Capital G	Capital G
13	Disco	Cringe Ass Nae Nae Baby
13	Fette	Fette
13	Treyara	GDN | Treyara
17	BarbNation	BarbNation
17	Eth	Eth
17	lunchtime	lunchtime
17	MilkTea	MilkTea
17	Morgan	Morgan
17	Phantom	Phantom
17	Privé	Privé
17	Blaze	tcmBlazeK
25	bokobo	bokobo
25	Hollywood	Hollywood
25	Kumis	Kumis
25	LaFever	LaFever
25	Nanukka	Nanukka
25	SaintCD	SaintCD
25	A Shape	Shape
25	Senam	The Brave Little Joester
33	BIG PHARMA	Big Pharma
33	Crime Sunday	Dark Krooze
33	Delectron	Delectron
33	FriedBagel	FriedBagel
33	Gummy	GG | Gummy
33	Haus	Haus
33	Joyboy	Joyboy
33	Kelkador	Kelkador
33	lotuskosal	lotuskosal
33	PJ	Moist | PJ
33	Phwii	Phwii
33	Pony	Pony
33	Razzi	Razzi
33	Rival	Rival
33	sans.	sans. | sans.
33	TG_Link	TG_Link
49	3G5	3G5
49	Brain Delicious	Brian Delicious
49	Dusha;p	Dusha;p
49	I.Zee	I.Zee
49	TheBigJut	TheBigJut
