Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #59	17 February 2023	Vivian	68	133	http://start.gg/tournament/advantage-state-59/event/ultimate-singles	https://braacket.com/tournament/2E0A55E3-1F54-4144-B0E2-5358A58F2552
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	loaf	loaf
3	Hunter	Hunter
4	Maya	Maya
5	Dadzie	Dadzie
5	Lucky	Lucky
7	Thor	BigOninFan
7	Truth	тяцтн
9	Kareem	Average Techbro
9	Mistral	BAD | Mistral
9	Llomomo	BTL | Llomomo
9	Violet	imranisthebestfr2023
13	BigJayhawk	BigJayhawk
13	Capital G	Capital G
13	Drip	Drip
13	Sean Sorey	Sean Sorey
17	ADDICT	<3 | ADDICT
17	BarbNation	BarbNation
17	Blaze	Blaze
17	Neet	check ur gmail
17	Kaden	Flyte | Kaden
17	Franzwa	Franzwa
17	Lavender	LB | Lavender
17	Tosty	Tosty
25	bokobo	bokobo
25	Crime Sunday	Dark Krooze
25	Eth	Eth
25	Haus	Haus
25	lunchtime	lunchtime
25	Pepsi	Pepsi
25	Phantom	Phantom
25	sans.	sans. | sans.
33	BrickBrain	BrickBrain
33	Chan	Chan
33	Divine	Divine
33	Gummy	GG | Gummy
33	Kelkador	Kelkador
33	Little McGlitch	Little mcglitch
33	lotuskosal	lotuskosal
33	Abnormal	M | Abnormal
33	Wilk	MSP | StonedFurby
33	Natchy	Natchy
33	PackJendleton	PackJendleton
33	Pony	Pony
33	SaintCD	SaintCD
33	studentX	studentX
33	TG_Link	TG_Link
33	Tungsten'	Tungsten'
49	ElectricMuffin	Ai Ohto | ElectricMuffin
49	Bingus	BeanyWeenieBingus
49	BetaGachaGamer	BetaGachaGamer
49	BIG PHARMA	BIG PHARMA
49	CdTug	CDTUG
49	Ragnarok	CH_Rider
49	Merge-up	Merge-up
49	Privé	Privé
49	Rival	Rival
49	Runa	Runa
49	Rusty	Rusty
49	soulrack	Soulrack
49	ssjneo	ssjneo
49	Varroa	Varroa
49	Watermeloan	Watermeloan
49	Gilgamesh	WPB | Gilgamesh
65	Fee	Fee
65	Jeff	Jeff
65	Ksh3rd	Kshr3d
65	MemeLord	MemeLord
