Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
CONTENDER ESPORTS MANKATO MONTHLY DECEMBER 2022	18 December 2022	GodIMissHer	21	41	http://start.gg/tournament/contender-esports-mankato-monthly-december-2022/event/ultimate-singles	https://braacket.com/tournament/B0B05F74-12B8-440A-8776-E729EB1E5EFB
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Yungsavage	Yungsavage
3	Limbo	Hot Anime Mom
4	WhatsAKingToAGod	WhatsAKingToAGod
5	Fette	Fette
5	sans.	sans. | sans.
7	lunchtime	lunchtime
7	Splarff	Splarff
9	BarbNation	BarbNation
9	Chan	Chan
9	mahdi	mahdi
9	TesraKumo	TesraKumo
13	Divine	Divine
13	Hollywood	Hollywood
13	Vetta	Vetta
13	ChillingWok	Will
17	Bary John	Bary John
17	FriedBagel	FriedBagel
17	Kai	Kai
17	Louii	Louii (CASTER)
17	Hamalak	MNT | Hamalak
