Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #16 at Black Ice	02 April 2022	loaf	52	101	http://smash.gg/tournament/freezie-friday-16-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/1F27B9A5-28A0-4C71-9191-AB690A07A1CD
Placement	Tag	Alt
1	loaf	loaf
2	Stealth_Pilot	Stealth_Pilot
3	Thor	Thor
4	Kareem	IKnowWhereULive
5	ADDICT	<3 | ADDICT
5	Dadzie	Dadzie
7	Violet	Certified Bitch
7	Maya	Mirai
9	Chan	Chan
9	DatDerpDog	DatDerpDog
9	Meatflap	Meatflap
9	Motionz	Motionz
13	Llomomo	BTL | Llomomo
13	Faucet	Faucet
13	Kden	Kden
13	The Ashen Dragoon	The Ashen Dragoon
17	Blaze	BlazeK114
17	bokobo	bokobo
17	Ehis	Ehis
17	Gwishin	Gwishin
17	ian (Witry)	ian
17	Rush	Rush
17	Morgan	scam likely
17	Yungsavage	Yungsavage
25	A Shape	A Shape
25	BarbNation	BarbNation
25	Knuckle Sandwich	Knuckle Sandwich
25	Maynnaise	Maynnaise
25	RoboPanda	RoboPanda
25	Crime Sunday	Rolo
25	Spritemare	Spritemare
25	yonuh	yonuh
33	Airpog!	Airpog!
33	Bingus	Bingus
33	Con	Con
33	Juggz	CSP | Juggz
33	dabe	dabe
33	Dip	Dip
33	FlameHorizon	FlameHorizon
33	Pony	Pony
33	Qwuartz	Qwuartz
33	señorguava	señorguava
33	spitz	spitz
33	ssjneo	ssjneo
33	TacTac	TacTac
33	Phrog	ThatFrog
33	GE3SEU	TR | Masta Geese
33	Vetta	Vetta
49	BeMusty	BeMusty
49	cade	cade
49	Ragnarok	CH_Rider
49	Ghost	Ghost
