Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #21 at Black Ice	21 May 2022	Maya	42	82	http://smash.gg/tournament/freezie-friday-21-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/44F9A7A6-FE03-426D-8255-7FD1415E7ECA
Placement	Tag	Alt
1	Maya	Mirai
2	Lucky	Lucky
3	Ventura	Ventura
4	DatDerpDog	DatDerpDog
5	Drip	Drip
5	Violet	Violet
7	AllDay	AllDay
7	The Ashen Dragoon	The Ashen Dragoon
9	Chess	BIG DMG | Chess
9	Aurokon	G | Aurokon
9	Kareem	Kendrick Lamario
9	Meatflap	Meatflap
13	ADDICT	<3 | ADDICT
13	Faucet	Faucet
13	Jackypoo	Jackypoo
13	Kden	Kden
17	BarbNation	BarbNation
17	Blaze	BlazeK114
17	bokobo	bokobo
17	GAY LORD	GAY LORD
17	Hype2Hard	Hype2Hard
17	Limbo	Limbo
17	Maynnaise	Maynnaise
17	Rush	Rush
25	ZR	GCSC | ZR
25	BIG PHARMA	PHDpretty
25	REAVER	RAGE
25	SeanVGM	SeanVGM
25	spitz	spitz
25	ssjneo	ssjneo
25	Senam	VENTURA INTL | Senam
25	yonuh	yonuh
33	a worm	a worm
33	beanboy	beanboy
33	Chameleon	Chameleon
33	dabe	dabe
33	Dani	Dani
33	Dooz	Dooz
33	emtea	emtea
33	Gab	Gab
33	JohnnyJah	JohnnyJah
33	OzMockman	OzMockman
