Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #22 at Black Ice eSports	11 June 2022	Vivian	34	66	http://start.gg/tournament/freezie-friday-22-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/D4547DCD-AB7B-4CB0-92A2-379E522AD97F
Placement	Tag	Alt
1	Vivian	fem | Vivian
2	loaf	loaf
3	Violet	Billnyethemintyguy
4	Truth	IKON | Intermediate Crip Walker
5	Chess	BIG DMG | Chess
5	Ehis	Ehis
7	Lucky	Lucky
7	Ventura	Ventura
9	Llomomo	BTL | Llomomo
9	Bubswah	Bubswah
9	DatDerpDog	DatDerpDog
9	Drip	Drip
13	ADDICT	<3 | ADDICT
13	Hype2Hard	Hype2Hard
13	Kden	Kden
13	sans.	sans. | sans.
17	BarbNation	BarbNation
17	Blaze	BlazeK114
17	Fil	DrFil
17	Jackypoo	Jackypoo
17	Mime	Mime
17	REAVER	RAGE
17	Zfump	Zfump
17	Zigglet	Zigglet
25	blackwolf	BlackWolf
25	bokobo	bokobo
25	Juggz	CSP | Juggz
25	emtea	glasshalfemtea
25	BIG PHARMA	PHDpretty
25	Shrub	Shrub
25	spitz	spitz
25	Spritemare	Spritemare
33	a worm	a worm
33	Ben10	Ben10
