Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #27 at Black Ice eSports	23 July 2022	GodIMissHer	51	101	http://start.gg/tournament/freezie-friday-27-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/FF677B11-71BE-4E5B-B38E-2C848542ED2E
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Lucky	Lucky
3	Thor	Thor
4	Maya	Maya
5	darkdoger	darkdoger
5	Meatflap	Meatflap
7	sans.	sans. | sans.
7	The Ashen Dragoon	The Ashen Dragoon
9	Cranky	Cranky
9	Drip	Drip
9	Hype2Hard	Hype2Hard
9	Camden	NC-17 | Camden
13	Blaze	BlazeK114
13	Jackypoo	Employed Smasher
13	Kden	Kden
13	Legit	Legit
17	BarbNation	BarbNation
17	Daxe	Daxe
17	Maynnaise	Maynnaise
17	RocketX1	RocketX1
17	Rush	Rush
17	Senam	Senam
17	Spritemare	Spritemare
17	GE3SEU	Triumph | GE3SEU
25	Bubswah	Bubswah
25	Carrfam	Carrfam
25	GAY LORD	GAY LORD
25	Invader_Palito	Invader_Palito
25	BIG WILL	MADVILLAIN | BIG WILL
25	RoboPanda	RoboPanda
25	SeanVGM	SeanVGM
25	spitz	spitz
33	bokobo	bokobo
33	D35PAC10	D35PAC10
33	Dinnersaurs	Dinnersaurs
33	Fil	DrFil
33	Gummy	Gummy
33	Crime Sunday	Gus
33	IntrinSICK	IntrinSICK
33	Jaycooh	Jaycooh
33	jewelz	jewelz
33	kurisu	kurisu
33	noha	noha
33	A Shape	Shape
33	JadeBlade	SMD | JadeBlade
33	TacTac	TacTac
33	Lucasooo	The Hesh.com | Lucasooo
33	Tobyturtles	The hesh.com | Tobyturtles
49	acmccumbers	acmccumbers
49	andywoohoo	andywoohoo
49	Thouxan	Thouxan
