Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #32	15 August 2022	Failbot	31	61	http://start.gg/tournament/inver-grove-fights-32/event/ultimate-singles	https://braacket.com/tournament/B066CAB1-A663-4B40-98B0-8D536E494FC5
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	Ventura	Ventura
3	Violet	Amelia Eardodge
4	Meatflap	Meatflap
5	Dadzie	Dadzie
5	darkdoger	darkdoger
7	Ehis	Ehis
7	Sean Sorey	Kevin Breastfeeding
9	Bubswah	Bubswah
9	Kareem	Kareem
9	MintyGuy700	MintyGuy700
9	Shrumble	Shrumble
13	Chan	Chan
13	Disco	Dsco
13	Phantom	Phantom
13	sans.	sans. | sans.
17	Ark	Ark
17	Blaze	BlazeK114
17	Carrfam	Carrfam
17	CoeZ	CoeZ
17	Jackypoo	Employed Smasher
17	GAY LORD	GAY LORD
17	studentX	studentX
17	Crime Sunday	Swaggertron500
25	a worm	a worm
25	MTroll	MTroll
25	Soda.Chip	Soda.Chip
25	vanbungle	vanbungle
25	WalMarth	WalMarth
25	Yungsavage	Yungsavage
25	Zenon	Zenon
