Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #39	05 December 2022	Meatflap	23	45	http://start.gg/tournament/inver-grove-fights-39/event/ultimate-singles	https://braacket.com/tournament/98F3737F-F50B-4D46-81FD-085EEEC9B1EC
Placement	Tag	Alt
1	Meatflap	Meatflap
2	Jaaahsh	Panda | Jaaahsh
3	Kareem	Kareem eSports | Kareem!
4	Sean Sorey	Sean Sorey
5	Aurokon	G | Degeneroar
5	The Ashen Dragoon	The Ashen Dragoon
7	Jackie Peanuts	Jackie Peanuts
7	JKL623	JKL623
9	BIG WILL	A!R | BIG WILL
9	Natchy	Natchy
9	Blaze	tcmBlazeK
9	trippybutter	trippybutter
13	bang	bang
13	Eth	Eth
13	Crime Sunday	Swaggertron500
13	Tungsten'	Tungsten'
17	CaptainEnder401	CaptainEnder401
17	GreatDaneGamer	GDG
17	Gummy	Gummy
17	Ms.woMAN	Ms.woMAN
17	studentX	studentX
17	vanbungle	vanbungle
17	WalMarth	WalMarth
