Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Keepers of the North #12	16 October 2022	Erin	22	108	http://start.gg/tournament/keepers-of-the-north-12/event/ultimate-singles	https://braacket.com/tournament/7E937162-5BFF-4E12-ADC9-DCD4F8062813
Placement	Tag	Alt
1	Erin	605 | Erin
2	HeroAwesome	HeroAwesome
3	peparony	peparony
4	Dole Dips	Dole Dips
5	TheVP	A | TheVP
5	Childish	yo | Childish
7	Auxillary	Auxillary
7	Skyfox	Skyfox
9	Aerial	Aerial
9	Da Chop	Da Chop
9	ori0n	ori0n
9	WEET THINS	WEET THINS
13	Bread (Saint Cloud)	Bread
13	IDD	IDD
13	Odinson	Odinson
13	ThatManWithAFace	ThatManWithAFace
17	Beatle	Beeetle
17	Lord Plim	BOWU | Lord Plim
17	Diabl0	Diabl0
17	Effect	Effect
17	KA$H	KA$H
17	Mikeknight	Mikeknight
