Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #2	07 January 2023	GodIMissHer	47	88	http://start.gg/tournament/leveling-lug-2/event/ultimate-singles	https://braacket.com/tournament/496C9B32-1BAD-48E3-BFC3-A48DAE1A0157
Placement	Tag	Alt
1	GodIMissHer	GodIMissHer
2	Failbot	Rad | Failbot
3	Truth	Maelstrom
4	Mistral	BAD | Mistral
5	Aurokon	G | Degeneroar
5	LazyZach	GG | LazyZach
7	Violet	Oyasumi, Pogpog
7	Tosty	Tosty
9	awert	awert
9	A_N	A_N
9	Ehis	Ehis | Ehis
9	Meatflap	Meatflap
13	Chan	Chan
13	Disco	Cringe Ass Nae Nae Baby
13	Franzwa	Franzwa
13	Geyser	MTU | Geyser
17	BarbNation	BarbNation
17	Limbo	Bing bong it's limbong
17	Llomomo	BTL | Llomomo
17	Dadzie	Dadzie
17	Natchy	Natchy
17	Sanguine	Sanguine
17	Shrumble	Shrumble
17	Yungsavage	Yungsavage
25	BIG PHARMA	BIG PHARMA
25	bokobo	bokobo
25	VinnyTea	FS | VinnyTea
25	Hype2Hard	Hype2Hard
25	Morgan	Morgan
25	Rush	Rush
25	Blaze	tcmBlazeK
25	yonuh	yonuh
33	Dooku	1430 | Dooku
33	BIG WILL	A!R | BIG WILL
33	Divine	Divine
33	emtea	Emtea
33	Gummy	GG | Gummy
33	Haus	Haus
33	Jericho	Jericho
33	Kden	Kden
33	LaFever	LaFever
33	lunchtime	lunchtime
33	Jurjester	Mr | Jurjester
33	Roll	Roll
33	Snugs	Snugs
33	spitz	spitz
33	Spritemare	Spritemare
