Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Sleet & Beat	20 February 2023	GodIMissHer	70	131	http://start.gg/tournament/sleet-beat/event/ultimate-singles-1	https://braacket.com/tournament/6C50CED7-65FE-4F68-9EFA-4943E58DAE87
Placement	Tag	Alt
1	GodIMissHer	GodIMissHer
2	Failbot	Rad | Failbot
3	Erin	605 | 分隊 | Erin
4	Stealth_Pilot	Stealth_Pilot
5	LazyZach	GG | LazyZach
5	Maya	SUPERBIGMARIOFAN
7	MilkTea	MilkTea
7	peparony	OneStudio | peparony
9	kogame	GH | | kogame
9	Jake Fox	Jake Fox
9	HeroAwesome	scoot | Hero
9	Shaeffen	Shaeffen
13	Faucet	Faucet
13	Dole Dips	Piss Gang | Dole Dips
13	Reverbo	Reverbo
13	Treyara	Treyara
17	Aura Wolf	Aura Wolf
17	Beetle	Beetle
17	Buster	Buster
17	Quank	Quank
17	SULRoY	SOG | SULRoY
17	TheVP	TheVP
17	Typho	Typho
17	Zulo	Zulo
25	Fette	Fette
25	Flom	Flom
25	Hollywood	Hollywood
25	Joe Mama	Joe Mama
25	lunchtime	lunchtime
25	ori0n	ori0n
25	Generic	POOP | Generic
25	Spritemare	Spritemare
33	ElectricMuffin	Ai Ohto | ElectricMuffin
33	Bingus	BeanyWeenieBingus
33	Beatle	Beatle
33	Bread (Saint Cloud)	Bread (Saint Cloud)
33	Bunny5001	Bunny5001
33	Cheezy	Cheezy
33	Curly	Curly
33	XX17	Dervid Gaming | i pooped my pants
33	FriedBagel	FriedBagel
33	Auxillary	NULL | Auxillary
33	Monke	POOP | Monke
33	Mr.Cookie	POOP | Mr.Cookie
33	Skyfox	Skyfox
33	Odinson	Thor | Odinson
33	Vertiar	Vertiar
33	WEET THINS	WEET THINS
49	1-800-BELL	1-800-BELL
49	Boolahan	Boolahan
49	Bread (Bemidji)	Bread (Bemidji)
49	Effect	BSU | Effect
49	Grem	Grem
49	Llama	Llama
49	SOGMonkey	MNG | FSG | SOGMonkey
49	Nuclear	Nuclear
49	Overlord_K	Overlord_K
49	C_Pap	POOP | C_Pap
49	duck	POOP | duck
49	Squilly	POOP | Squilly
49	Seeker259	Seeker259
49	Snail	Snail
49	studentX	studentX
49	The Legend	The Legend
65	Big-Al	Big-Al
65	LeBowlinFan	LeBowlinFan
65	Lynn	Lynn
65	Bowie124	POOP | Bowie124
65	Ryan	Ryan
65	Torelly	Torelly
