Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #50	10 July 2022	Failbot	32	62	http://start.gg/tournament/stop-your-friendlies-50/event/ultimate-singles	https://braacket.com/tournament/35ACCD36-E67F-4A5A-AB36-92C473495DE7
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	GodIMissHer	Kasmir
3	Lucky	Lucky
4	Thor	Thor
5	awert	awert
5	Violet	My Neighbor Craig
7	Dadzie	Dadzie
7	Camden	NC-17 | Camden
9	ADDICT	<3 | ADDICT
9	Drip	Drip
9	Meatflap	Meatflap
9	Maya	Mirai
13	Clifford	Clifford
13	Libero	Libero
13	sans.	sans. | sans.
13	skippychompy	skippychompy (VDC)
17	Blaze	BlazeK114
17	Fil	DrFil
17	Faucet	Faucet
17	GAY LORD	GAY LORD
17	REAVER	REAVER
17	Schnapps	Schnapps
17	TacTac	TacTac
17	Vetta	Vetta
25	BarbNation	BarbNation
25	Con	Con
25	emtea	glasshalfemtea
25	Crime Sunday	Gus
25	Hennu_TRM	Hennu_TRM
25	SirSilky	SirSilky
25	Skaothi	Skaothi
25	spitz	spitz
