Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #59	09 September 2022	Truth	24	46	http://start.gg/tournament/stop-your-friendlies-59/event/ultimate-singles	https://braacket.com/tournament/A821098F-DEC1-4F6E-BAD8-B111BDD7CDB5
Placement	Tag	Alt
1	Truth	Resident Fraud
2	Neet	CBT | Neet
3	Meatflap	Meatflap
4	Lucky	Lucky
5	Maya	Maya
5	Yungsavage	Yungsavage
7	Ehis	Ehis | Ehis
7	kogame	GH | | kogame
9	Gwishin	Gwishin
9	Pestilence	Pestilence
9	Pyroco	Pyroco
9	Salad	Salad
13	Bunny5001	Isaac
13	Openmindedness1	Openmindedness1
13	XM	SG | XM
13	Sham!	Sham!
17	Dravus	Dravus
17	icymcspicy	icymcspicy
17	McClane	McClane
17	Rognan	Rognan
17	Smitty	Smitty
17	Vicious	Vicious
17	Zarg0n	Zarg0n
17	zwags	zwags
