Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #62	30 September 2022	Truth	16	30	http://start.gg/tournament/stop-your-friendlies-62-1/event/ultimate-singles	https://braacket.com/tournament/826892EE-CF54-4BF1-B6DB-C732A2ED6A98
Placement	Tag	Alt
1	Truth	Abat v2
2	Violet	Who2FramedRogerRabbit
3	Neet	CBT | Neet
4	Yungsavage	Yungsavage
5	Maya	Maya
5	Meatflap	Meatflap
7	Llomomo	BTL | Llomomo
7	sans.	sans. | sans.
9	kogame	GH | | kogame
9	Gord	Gord
9	Bunny5001	Isaac
9	Yugur	Yugur
13	autumn!	autumn!
13	Boníek	Boníek
13	SWIM	SWIM
13	TacTac	TacTac
