Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #66	11 November 2022	Dadzie	33	64	http://start.gg/tournament/stop-your-friendlies-66/event/ultimate-singles	https://braacket.com/tournament/AA071309-B86C-4A87-ABDC-FEF7C92665EE
Placement	Tag	Alt
1	Dadzie	Dadzie
2	Stealth_Pilot	Stealth_Pilot
3	Maya	Maya
4	Ehis	Ehis
5	Drip	Drip
5	Aurokon	G | Degeneroar
7	awert	awert
7	BigJayhawk	BigJayhawk
9	Bunny5001	Bunny5001
9	Chan	Chan
9	kogame	GH | | kogame
9	Gwishin	Gwishin
13	bokobo	bokobo
13	Jerm	Jerm
13	Razzi	Razzi
13	Spritemare	Spritemare
17	Haus	Haus
17	Husker	Husker
17	kurisu	kurisu
17	Pony	Pony
17	Reset	Reset
17	sans.	sans. | sans.
17	Scuderia	Scuderia
17	wastevtime	wastevtime
25	ChangCow	ChangCow
25	Ragnarok	CHrider
25	emensti	emensti
25	Funky Junky	Funky Junky
25	macNg	macNg
25	momluvr69	momluvr69
25	MrCrocMan	MrCrocMan
25	Wayne	Wayne
33	turbine	turbine
