Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #68	02 December 2022	Truth	21	41	http://start.gg/tournament/stop-your-friendlies-68/event/ultimate-singles	https://braacket.com/tournament/9313308C-D5A5-46B3-8671-37CC57044F26
Placement	Tag	Alt
1	Truth	Negus (Forma De Fraud)
2	Meatflap	Meatflap
3	Neet	CBT | Neet
4	Ehis	Ehis
5	awert	awert
5	Mistral	BAD | Mistral
7	Drip	Drip
7	Yungsavage	Yungsavage
9	BarbNation	BarbNation
9	kogame	GH | | kogame
9	Blaze	tcmBlazeK
9	Treyara	Treyara
13	BigJayhawk	BigJayhawk
13	Eth	Eth
13	GAY LORD	GAY LORD
13	Gwishin	Gwishin
17	7even	7even
17	BMillion	BMillion
17	emtea	Emtea
17	Esper	Esper
17	HurryCaine	HurryCaine
