Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #69	09 December 2022	GodIMissHer	21	41	http://start.gg/tournament/stop-your-friendlies-69/event/ultimate-singles	https://braacket.com/tournament/23E3EF64-1A57-434B-B4A0-975BC68B6A61
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	loaf	loaf
3	Neet	cello gaming | Neet
4	Ehis	Ehis
5	Kareem	Kareem eSports | Kareem!
5	Meatflap	Meatflap
7	Mistral	BAD | Mistral
7	sans.	sans. | sans.
9	awert	awert
9	BarbNation	BarbNation
9	Drip	Drip
9	Phantom	Phantom
13	kogame	GH | | kogame
13	Gwishin	Gwishin
13	Rush	Rush
13	Blaze	tcmBlazeK
17	Wilk	CF | Wilk
17	kurisu	kurisu
17	A Shape	Shape
17	turbine	turbine
17	Yungsavage	Yungsavage
