Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #38	17 January 2023	Stealth_Pilot	23	45	http://start.gg/tournament/the-comeback-38-1/event/ultimate-singles	https://braacket.com/tournament/BBF354B7-C4C3-433C-813E-0A2C5E92DCE9
Placement	Tag	Alt
1	Stealth_Pilot	Stealth_Pilot
2	Meatflap	Meatflap
3	Truth	Maelstrom
4	Drip	Drip
5	Violet	A B C D E H I S
5	Disco	Cringe Ass Nae Nae Baby
7	Sean Sorey	Sean Sorey
7	Spritemare	Spritemare
9	CmB	CmB
9	Shrumble	Shrumble
9	The Ashen Dragoon	The Ashen Dragoon
9	WhatsAKingToAGod	WhatsAKingToAGod
13	BIG WILL	A!R | BIG WILL
13	Mailiam	maiL
13	ms.birb	ms.birb
13	Tungsten'	Tungsten'
17	Cal	Cal
17	Eth	Eth
17	ORAForce1	ORAForce1
17	sans.	sans. | sans.
17	slobuckets	slobuckets
17	Zay	Team Rocket | Zay
17	vanbungle	vanbungle
