Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Comeback Edition	25 October 2022	stevenshark	21	40	http://start.gg/tournament/the-comeback-comeback-edition/event/ultimate-singles	https://braacket.com/tournament/1FB0BF26-40E3-4EE2-9397-60FCC42FA924
Placement	Tag	Alt
1	stevenshark	stevenshark
2	Maya	Maya
3	Ventura	Kareem eSports | Ventura
4	Sean Sorey	Sean Sorey
5	BarbNation	BarbNation
5	Violet	Guapo Gaming
7	Drip	Drip
7	The Ashen Dragoon	The Ashen Dragoon
9	KittyKrisps	KittyKrisps
9	Morgan	Morgan
9	Rush	Rush
9	Blaze	tcmBlazeK
13	DextheRex	DextheRex
13	Eth	Eth
13	Love	Love
13	Jackypoo	The Allegations
17	Bungy	Bungy
17	Gigs	Gigs
17	KonVict	KonVict
17	Soph	Soph
17	WalMarth	WalMarth
