Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Pantown Throwdown  Ultimate and Melee singles	15 January 2023	Shrumble	24	45	http://start.gg/tournament/the-pantown-throwdown-ultimate-and-melee-singles/event/ultimate-singles	https://braacket.com/tournament/AC5F83EA-040D-4F2C-9201-A2A8C2EB72B8
Placement	Tag	Alt
1	Shrumble	Shrumble
2	DaneReich	DaneReich
3	Bunny5001	Bunny5001
4	Crescent16	Aegis | Crescent16
5	Boolahan	Boolahan
5	SULRoY	SOG | SULRoY
7	Eagle	Eagle
7	Nizmo	Nizmo
9	McNutty	<3 JBONE | McNutty
9	Bayless	Bayless
9	XX17	Dervid Gaming | schmovinCLOUD3000v2
9	Spankr	FAT | Spankr
13	Calvin	Calvin
13	Zeldris	LG Zeldris | Zeldris
13	PickNick	PickNick
13	Typho	Typho
17	Bkay	Bkay
17	blackwolf	blackwolf
17	Bread (Saint Cloud)	Bread
17	grant	grant
17	JetRed	JetRed
17	metalforfish	metalforfish
17	Psyoh	Psyoh
17	Slayer	Slayer
