Player	Wins	Loses	Win %
REAVER	0	1	0.0
ian (Witry)	0	1	0.0
Jbrav	0	1	0.0
Camden	0	1	0.0
Rush	0	1	0.0
Mama	0	1	0.0
MN Aero	0	1	0.0
Invader_Palito	0	1	0.0
BIG WILL	0	1	0.0
A_N	0	1	0.0
Gwishin	0	1	0.0
Hype2Hard	0	1	0.0
Auxillary	0	1	0.0
Skyfox	0	1	0.0
Childish	0	1	0.0
Eddie	0	1	0.0
studentX	0	1	0.0
Jackie Peanuts	0	1	0.0
JKL623	0	1	0.0
Sanguine	0	1	0.0
lunchtime	0	1	0.0
Splarff	0	1	0.0
Geyser	0	1	0.0
CmB	0	1	0.0
Eagle	0	1	0.0
Nizmo	0	1	0.0
Kaden	0	1	0.0
MintyGuy700	0	1	0.0
lumenessence	0	1	0.0
Reverbo	0	1	0.0
Crime Sunday	0	1	0.0
monkeymandave	0	1	0.0
Bkay	0	1	0.0
D34D_M4N14C	0	1	0.0
VinnyTea	0	2	0.0
skippychompy	0	2	0.0
GAY LORD	0	2	0.0
Floop	0	2	0.0
Fette	0	2	0.0
Motionz	0	3	0.0
Chess	0	3	0.0
Maynnaise	0	3	0.0
Blaze	1	6	0.14285714285714285
Treyara	1	6	0.14285714285714285
sans.	3	17	0.15
ADDICT	1	5	0.16666666666666666
BarbNation	2	9	0.18181818181818182
Disco	1	4	0.2
Spritemare	1	4	0.2
Aura Wolf	1	3	0.25
Natchy	1	3	0.25
kogame	1	3	0.25
Llomomo	2	6	0.25
Yungsavage	6	17	0.2608695652173913
darkdoger	2	5	0.2857142857142857
Franzwa	3	7	0.3
Drip	14	29	0.32558139534883723
Capital G	1	2	0.3333333333333333
PinkShirtGuy	1	2	0.3333333333333333
dabberoni	1	2	0.3333333333333333
Raven	1	2	0.3333333333333333
Rayne!	1	2	0.3333333333333333
BigJayhawk	1	2	0.3333333333333333
Crescent16	1	2	0.3333333333333333
Faucet	1	2	0.3333333333333333
Vision	1	2	0.3333333333333333
Shaeffen	2	4	0.3333333333333333
Sean Sorey	9	18	0.3333333333333333
Aurokon	11	21	0.34375
Kareem	15	27	0.35714285714285715
Phantom	4	7	0.36363636363636365
Ehis	17	29	0.3695652173913043
Chan	3	5	0.375
The Ashen Dragoon	5	8	0.38461538461538464
Dole Dips	2	3	0.4
awert	4	6	0.4
Tosty	5	7	0.4166666666666667
Violet	44	59	0.42718446601941745
Mistral	20	26	0.43478260869565216
Bunny5001	4	5	0.4444444444444444
AllDay	9	11	0.45
Vomit	7	8	0.4666666666666667
Dadzie	36	40	0.47368421052631576
Meatflap	51	54	0.4857142857142857
Neet	21	22	0.4883720930232558
CrowZ	1	1	0.5
Legit	1	1	0.5
Jackypoo	1	1	0.5
Kahuza	1	1	0.5
A_bob ross	1	1	0.5
SULRoY	1	1	0.5
Jake Fox	1	1	0.5
Typho	1	1	0.5
Jobin	1	1	0.5
Deus	1	1	0.5
TheVP	2	2	0.5
Luma	2	2	0.5
Boolahan	2	2	0.5
DaneReich	2	2	0.5
TRAIN	2	2	0.5
LazyZach	11	11	0.5
Hunter	29	29	0.5
Lucky	55	53	0.5092592592592593
Stealth_Pilot	32	30	0.5161290322580645
Thor	47	43	0.5222222222222223
Ventura	33	30	0.5238095238095238
DatDerpDog	8	7	0.5333333333333333
Maya	63	55	0.5338983050847458
Limbo	5	4	0.5555555555555556
peparony	5	4	0.5555555555555556
Truth	60	43	0.5825242718446602
HeroAwesome	7	5	0.5833333333333334
Jaaahsh	3	2	0.6
MilkTea	5	3	0.625
Vivian	65	33	0.6632653061224489
WhatsAKingToAGod	2	1	0.6666666666666666
stevenshark	8	4	0.6666666666666666
Failbot	57	27	0.6785714285714286
Shrumble	9	4	0.6923076923076923
loaf	76	32	0.7037037037037037
Erin	11	4	0.7333333333333333
Candle	14	5	0.7368421052631579
GodIMissHer	84	24	0.7777777777777778
2D	1	0	1.0
