Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #51	08 September 2022	Lucky	51	100	http://start.gg/tournament/advantage-state-51/event/ultimate-singles	https://braacket.com/tournament/EA3932AC-0440-4427-AADE-D94E901D080C
Placement	Tag	Alt
1	Lucky	Lucky
2	Thor	BigOninFan
3	Maya	Maya
4	Vivian	fem | Vivian
5	Neet	CBT | Neet
5	Hunter	Hunter
7	Drip	Drip
7	Violet	Milhouse arrest
9	AllDay	AllDay
9	Franzwa	Franzwa
9	Capital G	Jimbo
9	sans.	sans. | sans.
13	Disco	Dsco
13	Ehis	Ehis | Ehis
13	Phantom	Phantom
13	Yungsavage	Yungsavage
17	BarbNation	BarbNation
17	DNA	BIG DMG | DNA
17	bokobo	bokobo
17	Cranky	Cranky
17	Jackypoo	Employed Smasher
17	Limbo	Limbo
17	MN Aero	Pac | MN Aero
17	studentX	studentX
25	A_N	A_N
25	Chan	Chan
25	kogame	GH | | kogame
25	Kronk	Kronk | Kronk
25	Rush	Rush
25	Spritemare	Spritemare
25	Crime Sunday	Swaggertron500
25	Treyara	Treyara
33	BigJayhawk	BigJayhawk
33	Blaze	BlazeK114
33	Chozen!	Chozen!
33	Eth	Eth
33	Gummy	Gummy
33	icymcspicy	icymcspicy
33	Kelkador	Kelkador
33	King L	King L
33	LaFever	LaFever
33	LumbieUwU	LumbieUwU
33	Krilp	MNVL | Krilp
33	PJ	Moist | KILLER B
33	Pestilence	Pestilence
33	spitz	spitz
33	The Poop Lord	The Poop Lord
33	John3:16	TJU | John3:16
49	Brampboy	Brampboy
49	Jard	Jard
49	Kallen	Kallen
