Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #52	15 September 2022	loaf	55	108	http://start.gg/tournament/advantage-state-52/event/ultimate-singles	https://braacket.com/tournament/2CC7092D-FD40-461B-9FA2-0BE743315EFC
Placement	Tag	Alt
1	loaf	loaf
2	Lucky	Lucky
3	Thor	BigOninFan
4	Hunter	Hunter
5	Dadzie	Dadzie
5	Vivian	fem | Vivian
7	Kareem	Kareem eSports | Kareem!
7	Truth	Resident Fraud
9	Neet	CBT | Neet
9	Limbo	Limbo
9	Maya	Maya
9	Meatflap	Meatflap
13	Drip	Drip
13	Disco	Dsco
13	sans.	sans. | sans.
13	Yungsavage	Yungsavage
17	AllDay	AllDay
17	Mistral	BAD | Mistral
17	Llomomo	BTL | Llomomo
17	Chan	Chan
17	Franzwa	Franzwa
17	GAY LORD	GAY LORD
17	Capital G	Jimbo
17	Phantom	Phantom
25	2D	2D
25	geeb	geeb
25	kogame	GH | | kogame
25	King L	King L
25	SeanVGM	SeanVGM
25	Senam	Smilingsalami
25	Treyara	Treyara
25	Yowchie	Yowchie
33	A_N	A_N
33	BarbNation	BarbNation
33	BigJayhawk	BigJayhawk
33	bokobo	bokobo
33	Chozen!	Chozen!
33	Eth	Eth
33	icymcspicy	icymcspicy
33	LaFever	LaFever
33	John3:16	MNT | John3:16
33	PJ	Moist | KILLER B
33	Morgan	Morgan
33	Rush	Rush
33	spitz	spitz
33	Spritemare	Spritemare
33	Blaze	tcmBlazeK
33	The Ashen Dragoon	The Splashin' Buffoon
49	DykeLord	DykeLord
49	Evil doer	Evil doer
49	Gummy	Gummy
49	Natchy	Natchy
49	OnlyFalcos	OnlyFalcos
49	Roll	Roll
49	Dab Pen	TSM | Dab Pen
