Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #54	29 September 2022	Vivian	30	59	http://start.gg/tournament/advantage-state-54/event/ultimate-singles	https://braacket.com/tournament/19AFA4A9-BD55-42CE-A0CE-E28BE00E3976
Placement	Tag	Alt
1	Vivian	fem | Vivian
2	Hunter	Hunter
3	Maya	Maya
4	Aurokon	G | Degeneroar
5	Drip	Drip
5	Capital G	Jimbo
7	Mistral	BAD | Mistral
7	Chan	Chan
9	Limbo	BackPain
9	BigJayhawk	BigJayhawk
9	bokobo	bokobo
9	Yungsavage	Yungsavage
13	kogame	GH | | kogame
13	Spritemare	Spritemare
13	studentX	studentX
13	Violet	Who2FramedRogerRabit
17	BarbNation	BarbNation
17	Eth	Eth
17	Fette	Fette
17	Gains	Gains
17	icymcspicy	icymcspicy
17	MN Aero	Pac | MN Aero
17	Pestilence	Pestilence
17	ssjneo	ssjneo
25	Gummy	Gummy
25	John3:16	MGC | John3:16
25	Roll	Roll
25	Rush	Rush
25	sans.	sans. | sans.
25	SonTamale	SonTamale
