Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #37	07 November 2022	Vivian	22	40	http://start.gg/tournament/inver-grove-fights-37/event/ultimate-singles	https://braacket.com/tournament/505EEFB5-036E-4EBF-8C9A-96D735FC9EB4
Placement	Tag	Alt
1	Vivian	fem | Vivian
2	Ehis	Ehis
3	Kareem	Kareem eSports | Kareem!
4	BigJayhawk	BigJayhawk
5	Violet	NieR Guatemala
5	sans.	sans. | sans.
7	Sean Sorey	Sean Sorey
7	Jackypoo	The Allegations
9	GAY LORD	GAY LORD
9	Natchy	Natchy
9	spitz	spitz
9	Tungsten'	Tungsten'
13	ChangCow	ChangCow
13	leaf	leaf
13	magnum_mon	magnum_mon
13	Tapeworm	Tapeworm
17	a worm	a worm
17	Gains	Gains
17	Hellfire	Hellfire
17	Ms.woMAN	Ms.woMAN
17	vanbungle	vanbungle
17	Wagon	Wagon
