Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #40	19 December 2022	Vivian	25	48	http://start.gg/tournament/inver-grove-fights-40/event/ultimate-singles	https://braacket.com/tournament/B981308A-2A9B-4EDB-AE9B-76594490A0F0
Placement	Tag	Alt
1	Vivian	vivian | gg
2	Failbot	Rad | Failbot
3	Aurokon	G | Degeneroar
4	sans.	sans. | sans.
5	Mistral	BAD | Mistral
5	Meatflap	Meatflap
7	Geyser	MTU | Geyser
7	Violet	Xanakin Highwalker
9	A_N	A_N
9	Kareem	Kareem eSports | Kareem!
9	Blaze	tcmBlazeK
9	Yungsavage	Yungsavage
13	Clavual	Clavual
13	Hollywood	Hollywood
13	Spritemare	Spritemare
13	Zenon	Zenon
17	BIG WILL	A!R | BIG WILL
17	CaptainEnder401	CaptainEnder401
17	GreatDaneGamer	GreatDaneGaner
17	Senam	Kareem Esports | Senam
17	NARD	NARD
17	studentX	studentX
17	The Football	The Numbers
17	Tungsten'	Tungsten'
25	vanbungle	vanbungle
