Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #60	16 September 2022	Maya	23	45	http://start.gg/tournament/stop-your-friendlies-60/event/ultimate-singles	https://braacket.com/tournament/1BF0C7F6-E89B-4061-91CC-8EF4876E2680
Placement	Tag	Alt
1	Maya	Maya
2	Truth	Resident Fraud
3	Thor	BigOninFan
4	Drip	Drip
5	Meatflap	Meatflap
5	Yungsavage	Yungsavage
7	kogame	GH | | kogame
7	Gwishin	Gwishin
9	A_N	A_N
9	BrokenSol	BrokenSol
9	Nooper	Nooper
9	trapgum	trapgum
13	Abdul	Abdul
13	Jerm	Jerm
13	Salad	salad
13	Treyara	Treyara
17	bubs	bubs
17	FrogeInJar	FrogeInJar
17	geeb	geeb
17	NinjaBoob	NinjaBoob
17	Soap	Soap
17	Swass	Swass
17	YOGAB	YOGAB
