Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #63	07 October 2022	Truth	18	34	http://start.gg/tournament/stop-your-friendlies-63/event/ultimate-singles	https://braacket.com/tournament/6C7A4573-57F8-4F5E-9854-B75CD8810F4C
Placement	Tag	Alt
1	Truth	Abat v2
2	Vivian	fem | Vivian
3	Maya	Maya
4	Meatflap	Meatflap
5	Mistral	BAD | Mistral
5	Dadzie	Dadzie
7	Neet	CBT | Neet
7	sans.	sans. | sans.
9	Llomomo	BTL | Llomomo
9	kogame	GH | | kogame
9	Jackypoo	Jackypoo
9	Yungsavage	Yungsavage
13	icymcspicy	icymcspicy
13	Pestilence	Pestilence
13	Scuderia	Scuderia
13	TacTac	TacTac
17	Gummy	Gummy
17	SPIKE!	SPIKE!
