Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #64	14 October 2022	Maya	22	43	http://start.gg/tournament/stop-your-friendlies-64/event/ultimate-singles	https://braacket.com/tournament/5D02B783-686A-48B9-BFCD-C3F223DD1F8B
Placement	Tag	Alt
1	Maya	Maya
2	Thor	BigOninFan
3	Truth	Abat v2
4	Mistral	BAD | Mistral
5	Meatflap	Meatflap
5	Blaze	tcmBlazeK
7	sans.	sans. | sans.
7	Treyara	Treyara
9	Neet	CBT | Neet
9	Gwishin	Gwishin
9	Natchy	Natchy
9	studentX	studentX
13	Esper	Esper
13	Haus	Haunted Haus
13	Openmindedness1	Openmindedness1
13	Vicious	Vicious
17	L0ZER	42 | L0ZER
17	Bungy	Bungy
17	Gummy	Gummy
17	Jerm	Jerm
17	mattias	mattias
17	Scuderia	Scuderia
