Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #65	04 November 2022	Lucky	27	52	http://start.gg/tournament/stop-your-friendlies-65/event/ultimate-singles	https://braacket.com/tournament/9E8D1A95-C8A7-4C17-97AF-316A374033A8
Placement	Tag	Alt
1	Lucky	Lucky
2	Truth	Abat v2
3	Thor	BigOninFan
4	Meatflap	Meatflap
5	Drip	Drip
5	Maya	Maya
7	Aurokon	G | Degeneroar
7	sans.	sans. | sans.
9	awert	awert
9	Neet	CBT | Neet
9	Ehis	Ehis
9	The Ashen Dragoon	The Ashen Dragoon
13	BarbNation	BarbNation
13	bokobo	bokobo
13	Gwishin	Gwishin
13	Blaze	tcmBlazeK
17	BigJayhawk	BigJayhawk
17	Bunny5001	Isaac
17	Jerm	Jerm
17	kurisu	kurisu
17	Pyroco	Pyroco
17	TacTac	TacTac
17	WavyJ	WavyJ
17	Wes	Wes
25	emensti	emensti
25	pugg	pugg
25	turbine	turbine
