Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Christmas Edition	20 December 2022	GodIMissHer	24	46	http://start.gg/tournament/the-comeback-christmas-edition/event/ultimate-singles	https://braacket.com/tournament/D9D36994-CCBA-4871-8A6F-50738F4E1E34
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Aurokon	G | Degeneroar
3	stevenshark	stevenshark
4	Hunter	Hunter
5	Meatflap	Meatflap
5	Failbot	Rad | Failbot
7	Mistral	BAD | Mistral
7	Drip	Drip
9	awert	awert
9	Violet	Freddie Merry Christmas
9	sans.	sans. | sans.
9	Yungsavage	Yungsavage
13	Eth	Eth
13	Geyser	MTU | Geyser
13	Crime Sunday	Swaggertron500
13	WhatsAKingToAGod	WhatsAKingToAGod
17	Lupe	Lupe
17	Mailiam	maiL
17	Blaze	tcmBlazeK
17	The Football	The | Football
17	Trianull	Trianull
17	trippybutter	trippybutter
17	vanbungle	vanbungle
17	Zeboz	Zeboz
