Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Ultimate Barcadian	25 September 2022	Dadzie	102	188	http://start.gg/tournament/the-ultimate-barcadian/event/arcadian-singles	https://braacket.com/tournament/233866E7-DAC3-420B-B08C-1C014FEB2206
Placement	Tag	Alt
1	Dadzie	Dadzie
2	LazyZach	LazyZach
3	Kareem	Kareem eSports | Kareem!
4	Vomit	Vomit
5	Kahuza	Kahuza
5	Meatflap	Meatflap
7	Chess	BIG DMG | Chess
7	Sean Sorey	Sean Sorey
9	AllDay	AllDay
9	Mistral	BAD | Mistral
9	BarbNation	BarbNation
9	Raven	TacoGuyy
13	Bubswah	Bubswah
13	Drip	Drip
13	Ehis	Ehis
13	Capital G	Jimbo
17	Alphamew	Alphamew
17	Aura Wolf	Aura Wolf
17	Carrfam	Carrfam
17	Disco	Dsco
17	Shaeffen	Shaeffen
17	Blaze	tcmBlazeK
17	The Ashen Dragoon	The Ashen Dragoon
17	Yungsavage	Yungsavage
25	Daddy Dan	Daddy Dan
25	Fette	Fette
25	VinnyTea	FS | VinnyTea
25	GAY LORD	GAY LORD
25	Gwishin	Gwishin
25	Hype2Hard	Hype2Hard
25	Natchy	Natchy
25	Zeboz	Xanakin Highwalker
33	awert	awert
33	DNA	BIG DMG | DNA
33	DREWGANGOD	Big Dmg | DREWGANGGOD
33	Cranky	Cranky
33	Daxe	Daxe
33	Senam	Kareem Esports | Smilingsalami
33	KittyKrisps	KittyKrisps
33	lunchtime	lunchtime
33	MilkTea	MilkTea
33	Morgan	Morgan
33	Rush	Rush
33	Sanguine	Sanguine
33	SeanVGM	SeanVGM
33	señorguava	señorguava
33	Shrumble	Shrumble
33	Spritemare	Spritemare
49	//JumpMan//	//JumpMan//
49	REAVER	Couragethedawg
49	Divine	Divine
49	Fil	DrFil
49	Eth	Eth
49	Flats	FN | Flats
49	NARD	NARD
49	Nooper	Nooper
49	ori0n	ori0n
49	Quank	Quank
49	Royal (Melee)	Royal
49	studentX	studentX
49	Flinzul	THB | Flinzul
49	trapgum	trapgum
49	Treyara	Treyara
49	GE3SEU	Triumph | GE3SEU
65	Gay Plant	BigOninFanFan | Gay Plant
65	GamesWithBob	Bob
65	Buwaud	Buwaud
65	CD	CD
65	Cheeto	Cheeto
65	dabe	dabe
65	ETossed	ETFF | ETossed
65	Flax	Flax
65	geeb	geeb
65	GinroDino	GinroDino
65	Gummy	Gummy
65	HYPERS	HYPERS
65	Jackypoo	Jackypoo
65	JacobMak	JacobMak
65	Jibca	Jibca
65	Lamonster	Lamonster
65	LumbieUwU	LumbieUwU
65	MacSlaya	MacSlaya
65	m_kao	m_kao
65	Nav	Nav
65	MN Aero	Pac | MN Aero
65	Pestilence	Pestilence
65	Preeminent	Preeminent
65	sans.	sans. | sans.
65	FuddleCísh	Señor | FuddleCísh
65	JadeBlade	SMD | JadeBlade
65	Starmfruit	Starmfruit
65	TacTac	TacTac
65	Thom	Thom
65	WEET THINS	TSBM:SOOWANOB-RADVD
65	Jaxtaxman	UARK | Jaxtaxman
65	Zenon	Zenon
97	bunbun	bunbun
97	Gigs	Gigs
97	math	math
97	PJ	Moist | KILLER B
97	Nagoob	Nagoob
97	smkybear15	smkybear15
