Player	Wins	Loses	Win %
dabberoni	0	1	0.0
PinkShirtGuy	0	1	0.0
Jbrav	0	1	0.0
MN Aero	0	1	0.0
darkdoger	0	1	0.0
GAY LORD	0	1	0.0
Kahuza	0	1	0.0
Blaze	0	1	0.0
Fette	0	1	0.0
lunchtime	0	1	0.0
Crescent16	0	1	0.0
Eagle	0	1	0.0
Kaden	0	1	0.0
MintyGuy700	0	1	0.0
TRAIN	0	1	0.0
Faucet	0	1	0.0
Raven	0	2	0.0
Chess	0	2	0.0
sans.	0	2	0.0
Dole Dips	0	2	0.0
BarbNation	0	2	0.0
Chan	0	2	0.0
Treyara	0	2	0.0
The Ashen Dragoon	0	4	0.0
LazyZach	1	5	0.16666666666666666
Drip	1	4	0.2
ADDICT	1	2	0.3333333333333333
Tosty	1	2	0.3333333333333333
Thor	9	15	0.375
Ehis	5	8	0.38461538461538464
stevenshark	2	3	0.4
Dadzie	8	11	0.42105263157894735
Yungsavage	3	4	0.42857142857142855
Aurokon	6	8	0.42857142857142855
Neet	4	5	0.4444444444444444
Meatflap	14	17	0.45161290322580644
Lucky	17	18	0.4857142857142857
Llomomo	1	1	0.5
Luma	1	1	0.5
Shrumble	1	1	0.5
MilkTea	1	1	0.5
Jaaahsh	1	1	0.5
Erin	1	1	0.5
Boolahan	1	1	0.5
Bunny5001	1	1	0.5
Shaeffen	1	1	0.5
Maya	16	16	0.5
Vivian	18	17	0.5142857142857142
Truth	13	12	0.52
Failbot	9	8	0.5294117647058824
Kareem	8	7	0.5333333333333333
Violet	14	12	0.5384615384615384
Ventura	9	7	0.5625
Sean Sorey	4	3	0.5714285714285714
Hunter	15	11	0.5769230769230769
Candle	3	2	0.6
Stealth_Pilot	6	4	0.6
loaf	16	9	0.64
GodIMissHer	22	12	0.6470588235294118
peparony	2	1	0.6666666666666666
Vomit	3	1	0.75
Mistral	8	1	0.8888888888888888
CrowZ	1	0	1.0
Legit	1	0	1.0
Rayne!	1	0	1.0
Phantom	1	0	1.0
SULRoY	1	0	1.0
Jake Fox	1	0	1.0
kogame	1	0	1.0
AllDay	2	0	1.0
HeroAwesome	2	0	1.0
awert	2	0	1.0
DaneReich	2	0	1.0
DatDerpDog	3	0	1.0
Limbo	3	0	1.0
