Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #52	15 September 2022	loaf	55	108	http://start.gg/tournament/advantage-state-52/event/ultimate-singles	https://braacket.com/tournament/2CC7092D-FD40-461B-9FA2-0BE743315EFC
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Phantom	GAY LORD	2	1	3	3
3	Disco	King L	2	0	3	2
4	Senam	Gummy	2	0	3	2
6	SeanVGM	spitz	2	0	3	2
8	Limbo	Mistral	2	1	3	3
10	Yowchie	icymcspicy	2	0	3	2
11	Meatflap	LaFever	2	0	3	2
12	Llomomo	Dab Pen	2	1	3	3
14	Treyara	PJ	2	1	3	3
15	Drip	2D	2	0	3	2
16	sans.	Natchy	2	1	3	3
18	Morgan	A_N	2	0	3	2
19	Chan	Roll	2	1	3	3
20	Yungsavage	BigJayhawk	2	1	3	3
22	kogame	Rush	2	1	3	3
23	Franzwa	OnlyFalcos	2	0	3	2
24	Capital G	Chozen!	2	0	3	2
26	BarbNation	John3:16	2	0	3	2
27	Kareem	DykeLord	2	0	3	2
28	geeb	The Ashen Dragoon	2	1	3	3
30	Spritemare	Eth	2	1	3	3
31	AllDay	Evil doer	2	0	3	2
32	Blaze	bokobo	2	0	3	2
33	loaf	Phantom	2	0	3	2
34	Disco	Senam	2	1	3	3
35	Maya	SeanVGM	2	1	3	3
36	Limbo	Dadzie	2	1	3	3
37	Truth	Yowchie	2	0	3	2
38	Meatflap	Llomomo	2	0	3	2
39	Hunter	Treyara	2	0	3	2
40	sans.	Drip	2	1	3	3
41	Lucky	Morgan	2	0	3	2
42	Yungsavage	Chan	2	1	3	3
43	Neet	kogame	2	0	3	2
44	Capital G	Franzwa	2	0	3	2
45	Thor	BarbNation	2	0	3	2
46	Kareem	geeb	2	0	3	2
47	Vivian	Spritemare	2	0	3	2
48	AllDay	Blaze	2	0	3	2
49	loaf	Disco	2	1	3	3
50	Maya	Limbo	2	1	3	3
51	Meatflap	Truth	2	0	3	2
52	Hunter	sans.	2	0	3	2
53	Lucky	Yungsavage	2	0	3	2
54	Neet	Capital G	2	0	3	2
55	Thor	Kareem	2	0	3	2
56	Vivian	AllDay	2	0	3	2
57	loaf	Maya	2	1	3	3
58	Hunter	Meatflap	2	1	3	3
59	Lucky	Neet	2	1	3	3
60	Thor	Vivian	2	0	3	2
61	loaf	Hunter	3	0	5	3
62	Lucky	Thor	3	0	5	3
63	loaf	Lucky	3	2	5	5
64	loaf	Lucky	3	2	5	5
89	King L	Gummy	2	0	3	2
93	LaFever	Dab Pen	2	0	3	2
95	2D	Natchy	3	0	5	3
97	BigJayhawk	Roll	2	1	3	3
99	Chozen!	OnlyFalcos	2	1	3	3
101	The Ashen Dragoon	DykeLord	2	0	3	2
103	bokobo	Evil doer	2	0	3	2
104	GAY LORD	Blaze	2	0	3	2
105	King L	Spritemare	2	1	3	3
106	geeb	spitz	2	0	3	2
107	Mistral	BarbNation	2	0	3	2
108	Franzwa	icymcspicy	2	0	3	2
109	kogame	LaFever	2	0	3	2
110	Chan	PJ	2	0	3	2
111	2D	Morgan	2	1	3	3
112	Drip	A_N	2	0	3	2
113	Treyara	BigJayhawk	2	0	3	2
114	Llomomo	Rush	2	1	3	3
115	Yowchie	Chozen!	2	0	3	2
116	Dadzie	John3:16	2	0	3	2
117	SeanVGM	The Ashen Dragoon	2	1	3	3
118	Senam	Eth	2	1	3	3
119	Phantom	bokobo	2	0	3	2
120	GAY LORD	King L	2	0	3	2
121	Mistral	geeb	2	0	3	2
122	Franzwa	kogame	2	1	3	3
123	Chan	2D	2	0	3	2
124	Drip	Treyara	2	0	3	2
125	Llomomo	Yowchie	2	1	3	3
126	Dadzie	SeanVGM	2	0	3	2
127	Phantom	Senam	2	0	3	2
128	sans.	GAY LORD	2	1	3	3
129	Truth	Mistral	2	0	3	2
130	Limbo	Franzwa	2	1	3	3
131	Disco	Chan	2	0	3	2
132	Drip	AllDay	2	0	3	2
133	Kareem	Llomomo	2	0	3	2
134	Dadzie	Capital G	2	0	3	2
135	Yungsavage	Phantom	2	1	3	3
136	Truth	sans.	2	0	3	2
137	Limbo	Disco	2	1	3	3
138	Kareem	Drip	2	1	3	3
139	Dadzie	Yungsavage	2	0	3	2
140	Truth	Neet	2	0	3	2
141	Vivian	Limbo	2	1	3	3
142	Kareem	Maya	2	0	3	2
143	Dadzie	Meatflap	2	0	3	2
144	Vivian	Truth	3	0	5	3
145	Dadzie	Kareem	3	0	5	3
146	Hunter	Vivian	3	2	5	5
147	Thor	Dadzie	3	0	5	3
148	Thor	Hunter	3	2	5	5
149	Lucky	Thor	3	1	5	4
