Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
CONTENDER ESPORTS MANKATO MONTHLY DECEMBER 2022	18 December 2022	GodIMissHer	21	41	http://start.gg/tournament/contender-esports-mankato-monthly-december-2022/event/ultimate-singles	https://braacket.com/tournament/B0B05F74-12B8-440A-8776-E729EB1E5EFB
Set Num	Winner	Loser	WS	LS	Best of	Game
2	WhatsAKingToAGod	Kai	2	0	3	2
6	mahdi	Louii	2	0	3	2
8	Hollywood	FriedBagel	2	0	3	2
10	Vetta	Bary John	2	0	3	2
14	Divine	Hamalak	2	0	3	2
17	GodIMissHer	WhatsAKingToAGod	2	0	3	2
18	lunchtime	ChillingWok	2	0	3	2
19	sans.	mahdi	2	0	3	2
20	BarbNation	Hollywood	2	0	3	2
21	Yungsavage	Vetta	2	0	3	2
22	Chan	TesraKumo	2	0	3	2
23	Fette	Divine	2	0	3	2
24	Splarff	Limbo	2	1	3	3
25	GodIMissHer	lunchtime	2	0	3	2
26	sans.	BarbNation	2	0	3	2
27	Yungsavage	Chan	2	0	3	2
28	Fette	Splarff	2	1	3	3
29	GodIMissHer	sans.	3	0	5	3
30	Yungsavage	Fette	3	2	5	5
31	Yungsavage	GodIMissHer	3	1	5	4
32	GodIMissHer	Yungsavage	3	2	5	5
33	GodIMissHer	Yungsavage	3	2	5	5
44	Limbo	Kai	2	0	3	2
46	TesraKumo	Louii	2	0	3	2
47	Vetta	FriedBagel	2	0	3	2
48	Hollywood	Bary John	2	0	3	2
50	ChillingWok	Hamalak	2	0	3	2
52	Limbo	Divine	2	0	3	2
53	TesraKumo	Vetta	2	1	3	3
54	mahdi	Hollywood	2	0	3	2
55	WhatsAKingToAGod	ChillingWok	2	0	3	2
56	Limbo	BarbNation	2	0	3	2
57	lunchtime	TesraKumo	2	1	3	3
58	Splarff	mahdi	2	1	3	3
59	WhatsAKingToAGod	Chan	2	1	3	3
60	Limbo	lunchtime	3	2	5	5
61	WhatsAKingToAGod	Splarff	3	1	5	4
62	Limbo	Fette	3	1	5	4
63	WhatsAKingToAGod	sans.	3	1	5	4
64	Limbo	WhatsAKingToAGod	3	0	5	3
65	GodIMissHer	Limbo	3	0	5	3
