Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Eagan Open	29 October 2022	LazyZach	32	60	http://start.gg/tournament/eagan-open/event/ultimate-singles	https://braacket.com/tournament/01C8EAFE-CE95-4499-AA7D-BEC0409DD874
Set Num	Winner	Loser	WS	LS	Best of	Game
1	LazyZach	GreatDaneGamer	2	0	3	2
2	Clubman	Shadmaster	2	0	3	2
3	ChuckNDuck	LaFever	2	1	3	3
4	Novled_	VelvetyJack1	2	0	3	2
5	MilkTea	kredillion	2	0	3	2
6	Hi-Score Henry	Chucknugget20	2	0	3	2
7	Vortex	Soupgaming23	2	0	3	2
8	JFee0003	Toast (Adept)	2	0	3	2
9	Phantom	King k cruel	2	0	3	2
10	Eddie	magnum_mon	2	0	3	2
11	Supper	Gummy	2	0	3	2
12	A_bob ross	GoGo101	2	0	3	2
13	Floop	JonsTheWizard	2	0	3	2
14	CaptainEnder401	- K/NG -	2	0	3	2
15	studentX	WalkerSlayer	2	0	3	2
16	.k	Chunkysauce	2	0	3	2
17	LazyZach	Clubman	2	0	3	2
18	ChuckNDuck	Novled_	2	1	3	3
19	MilkTea	Hi-Score Henry	2	0	3	2
20	Vortex	JFee0003	2	0	3	2
21	Phantom	Eddie	2	0	3	2
22	A_bob ross	Supper	2	1	3	3
23	Floop	CaptainEnder401	2	0	3	2
24	studentX	.k	2	1	3	3
25	LazyZach	ChuckNDuck	2	0	3	2
26	Vortex	MilkTea	2	0	3	2
27	Phantom	A_bob ross	2	0	3	2
28	Floop	studentX	2	0	3	2
30	Phantom	Floop	3	1	5	4
31	LazyZach	Phantom	3	1	5	4
32	LazyZach	Phantom	3	0	5	3
49	GreatDaneGamer	Shadmaster	2	0	3	2
50	LaFever	VelvetyJack1	2	0	3	2
51	kredillion	Chucknugget20	2	1	3	3
52	Soupgaming23	Toast (Adept)	2	0	3	2
53	magnum_mon	King k cruel	2	0	3	2
54	Gummy	GoGo101	2	0	3	2
55	- K/NG -	JonsTheWizard	2	0	3	2
56	Chunkysauce	WalkerSlayer	2	1	3	3
57	GreatDaneGamer	.k	2	0	3	2
58	LaFever	CaptainEnder401	2	0	3	2
59	Supper	kredillion	2	0	3	2
60	Eddie	Soupgaming23	2	0	3	2
61	magnum_mon	JFee0003	2	0	3	2
62	Gummy	Hi-Score Henry	2	0	3	2
63	Novled_	- K/NG -	2	1	3	3
64	Chunkysauce	Clubman	2	0	3	2
65	GreatDaneGamer	LaFever	2	0	3	2
66	Eddie	Supper	2	1	3	3
67	magnum_mon	Gummy	2	1	3	3
68	Novled_	Chunkysauce	2	1	3	3
69	MilkTea	GreatDaneGamer	2	0	3	2
70	Eddie	ChuckNDuck	2	1	3	3
71	studentX	magnum_mon	2	0	3	2
72	A_bob ross	Novled_	2	1	3	3
73	MilkTea	Eddie	3	0	5	3
74	A_bob ross	studentX	3	1	5	4
75	MilkTea	Floop	3	0	5	3
77	MilkTea	A_bob ross	3	0	5	3
78	Phantom	MilkTea	3	2	5	5
