Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #37	07 November 2022	Vivian	22	40	http://start.gg/tournament/inver-grove-fights-37/event/ultimate-singles	https://braacket.com/tournament/505EEFB5-036E-4EBF-8C9A-96D735FC9EB4
Set Num	Winner	Loser	WS	LS	Best of	Game
2	leaf	Gains	2	1	3	3
6	spitz	Ms.woMAN	2	0	3	2
8	ChangCow	a worm	2	1	3	3
10	Tapeworm	Wagon	2	1	3	3
14	magnum_mon	Hellfire	2	1	3	3
16	Natchy	vanbungle	2	0	3	2
17	Vivian	leaf	2	0	3	2
18	BigJayhawk	Jackypoo	2	0	3	2
19	Ehis	spitz	2	0	3	2
20	Sean Sorey	ChangCow	2	0	3	2
21	Violet	Tapeworm	2	0	3	2
22	GAY LORD	Tungsten'	2	1	3	3
23	Kareem	magnum_mon	2	0	3	2
24	sans.	Natchy	2	0	3	2
25	Vivian	BigJayhawk	2	0	3	2
26	Ehis	Sean Sorey	2	0	3	2
27	Violet	GAY LORD	2	0	3	2
28	Kareem	sans.	2	1	3	3
29	Vivian	Ehis	3	1	5	4
30	Kareem	Violet	3	2	5	5
31	Vivian	Kareem	3	0	5	3
32	Vivian	Ehis	3	0	5	3
45	Natchy	Gains	2	0	3	2
47	Tungsten'	Ms.woMAN	2	0	3	2
48	Tapeworm	a worm	2	1	3	3
49	ChangCow	Wagon	2	1	3	3
51	Jackypoo	Hellfire	2	0	3	2
52	leaf	vanbungle	2	0	3	2
53	Natchy	magnum_mon	2	0	3	2
54	Tungsten'	Tapeworm	2	0	3	2
55	spitz	ChangCow	2	1	3	3
56	Jackypoo	leaf	2	1	3	3
57	Sean Sorey	Natchy	2	1	3	3
58	BigJayhawk	Tungsten'	2	0	3	2
59	sans.	spitz	2	0	3	2
60	Jackypoo	GAY LORD	2	0	3	2
61	BigJayhawk	Sean Sorey	3	1	5	4
62	sans.	Jackypoo	3	0	5	3
64	Ehis	sans.	3	0	5	3
65	Ehis	BigJayhawk	3	1	5	4
