Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Keepers of the North #12	16 October 2022	Erin	22	108	http://start.gg/tournament/keepers-of-the-north-12/event/ultimate-singles	https://braacket.com/tournament/7E937162-5BFF-4E12-ADC9-DCD4F8062813
Set Num	Winner	Loser	WS	LS	Best of	Game
1	Erin	Childish	3	2	5	5
2	HeroAwesome	peparony	3	2	5	5
3	Erin	HeroAwesome	3	1	5	4
4	HeroAwesome	Erin	3	0	5	3
5	Erin	HeroAwesome	3	1	5	4
10	TheVP	Auxillary	3	0	5	3
11	Dole Dips	Skyfox	3	1	5	4
12	peparony	TheVP	3	1	5	4
13	Dole Dips	Childish	3	1	5	4
14	peparony	Dole Dips	3	2	5	5
15	HeroAwesome	peparony	3	0	5	3
