Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG	04 December 2022	Stealth_Pilot	32	63	http://start.gg/tournament/leveling-lug/event/ultimate-singles	https://braacket.com/tournament/5B3360D3-D703-4151-931B-13B21F50CAB6
Set Num	Winner	Loser	WS	LS	Best of	Game
1	Vivian	SaintCD	2	0	3	2
2	Mistral	VinnyTea	2	0	3	2
3	Meatflap	Pony	2	0	3	2
4	Drip	studentX	2	0	3	2
5	LazyZach	LaFever	2	0	3	2
6	Llomomo	Spritemare	2	0	3	2
7	Stealth_Pilot	MilkTea	2	1	3	3
8	Blaze	Gwishin	2	0	3	2
9	Maya	Zenon	2	1	3	3
10	Phantom	Hype2Hard	2	0	3	2
11	Ehis	spitz	2	0	3	2
12	Treyara	Chan	2	0	3	2
13	Dadzie	Ragnarok	2	0	3	2
14	awert	kogame	2	0	3	2
15	Neet	Gummy	2	0	3	2
16	BarbNation	Fil	2	0	3	2
17	Vivian	Mistral	2	0	3	2
18	Drip	Meatflap	2	1	3	3
19	LazyZach	Llomomo	2	1	3	3
20	Stealth_Pilot	Blaze	2	0	3	2
21	Maya	Phantom	2	0	3	2
22	Treyara	Ehis	2	0	3	2
23	Dadzie	awert	2	0	3	2
24	Neet	BarbNation	2	0	3	2
25	Vivian	Drip	2	0	3	2
26	Stealth_Pilot	LazyZach	2	0	3	2
27	Maya	Treyara	2	0	3	2
28	Neet	Dadzie	2	0	3	2
29	Vivian	Stealth_Pilot	3	1	5	4
30	Neet	Maya	3	1	5	4
31	Neet	Vivian	3	1	5	4
32	Stealth_Pilot	Neet	3	1	5	4
33	Stealth_Pilot	Neet	3	0	5	3
50	VinnyTea	SaintCD	2	0	3	2
51	studentX	Pony	2	0	3	2
52	Spritemare	LaFever	2	0	3	2
53	MilkTea	Gwishin	2	1	3	3
54	Zenon	Hype2Hard	2	0	3	2
55	Chan	spitz	2	0	3	2
56	kogame	Ragnarok	2	0	3	2
57	Fil	Gummy	2	1	3	3
58	BarbNation	VinnyTea	2	1	3	3
59	awert	studentX	2	0	3	2
60	Ehis	Spritemare	2	1	3	3
61	MilkTea	Phantom	2	0	3	2
62	Blaze	Zenon	2	0	3	2
63	Llomomo	Chan	2	0	3	2
64	Meatflap	kogame	2	0	3	2
65	Mistral	Fil	2	1	3	3
66	awert	BarbNation	2	0	3	2
67	Ehis	MilkTea	2	1	3	3
68	Blaze	Llomomo	2	0	3	2
69	Meatflap	Mistral	2	0	3	2
70	LazyZach	awert	2	1	3	3
71	Drip	Ehis	2	1	3	3
72	Dadzie	Blaze	2	0	3	2
73	Treyara	Meatflap	2	1	3	3
74	LazyZach	Drip	3	1	5	4
75	Treyara	Dadzie	3	1	5	4
76	LazyZach	Maya	3	2	5	5
77	Stealth_Pilot	Treyara	3	0	5	3
78	Stealth_Pilot	LazyZach	3	1	5	4
79	Stealth_Pilot	Vivian	3	1	5	4
