Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #69	09 December 2022	GodIMissHer	21	41	http://start.gg/tournament/stop-your-friendlies-69/event/ultimate-singles	https://braacket.com/tournament/23E3EF64-1A57-434B-B4A0-975BC68B6A61
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Rush	Gwishin	2	0	3	2
6	Blaze	kurisu	2	0	3	2
8	BarbNation	turbine	2	0	3	2
10	kogame	A Shape	2	0	3	2
14	Phantom	Wilk	2	0	3	2
17	loaf	Rush	2	0	3	2
18	awert	Drip	2	0	3	2
19	Neet	Blaze	2	0	3	2
20	Kareem	BarbNation	2	0	3	2
21	GodIMissHer	kogame	2	0	3	2
22	Mistral	sans.	2	0	3	2
23	Meatflap	Phantom	2	0	3	2
24	Ehis	Yungsavage	2	1	3	3
25	loaf	awert	2	0	3	2
26	Neet	Kareem	2	0	3	2
27	GodIMissHer	Mistral	2	0	3	2
28	Ehis	Meatflap	2	0	3	2
29	loaf	Neet	3	0	5	3
30	GodIMissHer	Ehis	3	1	5	4
31	GodIMissHer	loaf	3	2	5	5
32	loaf	GodIMissHer	3	1	5	4
33	GodIMissHer	loaf	3	1	5	4
44	Gwishin	Yungsavage	2	0	3	2
46	sans.	kurisu	2	0	3	2
47	kogame	turbine	2	0	3	2
48	BarbNation	A Shape	2	0	3	2
50	Drip	Wilk	2	1	3	3
52	Phantom	Gwishin	2	0	3	2
53	sans.	kogame	2	0	3	2
54	BarbNation	Blaze	2	0	3	2
55	Drip	Rush	2	0	3	2
56	Kareem	Phantom	2	1	3	3
57	sans.	awert	2	0	3	2
58	Meatflap	BarbNation	2	0	3	2
59	Mistral	Drip	2	0	3	2
60	Kareem	sans.	3	1	5	4
61	Meatflap	Mistral	3	0	5	3
62	Ehis	Kareem	3	2	5	5
63	Neet	Meatflap	3	1	5	4
64	Neet	Ehis	3	1	5	4
65	loaf	Neet	3	2	5	5
