Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #29	01 November 2022	Thor	16	31	http://start.gg/tournament/the-comeback-29/event/ultimate-singles	https://braacket.com/tournament/65966901-CBD0-44BE-A386-603B0F227BA2
Set Num	Winner	Loser	WS	LS	Best of	Game
1	Thor	shayesy	2	0	3	2
2	sans.	Blaze	2	0	3	2
3	Meatflap	Bungy	2	0	3	2
4	Violet	DextheRex	2	0	3	2
5	Maya	Huski	2	0	3	2
6	BarbNation	Jackypoo	2	0	3	2
7	Dadzie	Saweatie	2	0	3	2
8	Sean Sorey	Eth	2	0	3	2
9	Thor	sans.	2	0	3	2
10	Meatflap	Violet	2	0	3	2
11	Maya	BarbNation	2	1	3	3
12	Dadzie	Sean Sorey	2	1	3	3
13	Thor	Meatflap	3	1	5	4
14	Maya	Dadzie	3	2	5	5
15	Thor	Maya	3	1	5	4
16	Dadzie	Thor	3	2	5	5
17	Thor	Dadzie	3	0	5	3
26	Blaze	shayesy	2	0	3	2
27	Bungy	DextheRex	2	0	3	2
28	Jackypoo	Huski	2	0	3	2
29	Eth	Saweatie	2	0	3	2
30	Sean Sorey	Blaze	2	0	3	2
31	BarbNation	Bungy	2	0	3	2
32	Violet	Jackypoo	2	0	3	2
33	sans.	Eth	2	0	3	2
34	Sean Sorey	BarbNation	3	2	5	5
35	Violet	sans.	3	0	5	3
36	Meatflap	Sean Sorey	3	0	5	3
37	Dadzie	Violet	3	1	5	4
38	Dadzie	Meatflap	3	2	5	5
39	Dadzie	Maya	3	1	5	4
