Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Christmas Edition	20 December 2022	GodIMissHer	24	46	http://start.gg/tournament/the-comeback-christmas-edition/event/ultimate-singles	https://braacket.com/tournament/D9D36994-CCBA-4871-8A6F-50738F4E1E34
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Crime Sunday	Mailiam	2	0	3	2
4	Violet	Lupe	2	0	3	2
6	Yungsavage	Zeboz	2	0	3	2
8	Geyser	trippybutter	2	0	3	2
10	Eth	Blaze	2	1	3	3
12	sans.	Trianull	2	0	3	2
14	WhatsAKingToAGod	The Football	2	0	3	2
16	awert	vanbungle	2	0	3	2
17	GodIMissHer	Crime Sunday	2	0	3	2
18	Mistral	Violet	2	1	3	3
19	Hunter	Yungsavage	2	0	3	2
20	Meatflap	Geyser	2	0	3	2
21	Failbot	Eth	2	0	3	2
22	Aurokon	sans.	2	0	3	2
23	stevenshark	WhatsAKingToAGod	2	0	3	2
24	Drip	awert	2	1	3	3
25	GodIMissHer	Mistral	2	0	3	2
26	Hunter	Meatflap	2	0	3	2
27	Aurokon	Failbot	2	1	3	3
28	stevenshark	Drip	2	0	3	2
29	GodIMissHer	Hunter	3	1	5	4
30	Aurokon	stevenshark	3	2	5	5
31	Aurokon	GodIMissHer	3	2	5	5
32	GodIMissHer	Aurokon	3	1	5	4
33	GodIMissHer	Aurokon	3	2	5	5
51	WhatsAKingToAGod	Lupe	2	0	3	2
52	sans.	Zeboz	2	0	3	2
53	Eth	trippybutter	2	1	3	3
54	Geyser	Blaze	2	1	3	3
55	Yungsavage	Trianull	2	0	3	2
56	Violet	The Football	2	0	3	2
57	Crime Sunday	vanbungle	2	0	3	2
58	awert	WhatsAKingToAGod	2	1	3	3
59	sans.	Eth	2	0	3	2
60	Yungsavage	Geyser	2	0	3	2
61	Violet	Crime Sunday	2	0	3	2
62	Meatflap	awert	2	1	3	3
63	Mistral	sans.	2	1	3	3
64	Drip	Yungsavage	2	0	3	2
65	Failbot	Violet	2	0	3	2
66	Meatflap	Mistral	3	0	5	3
67	Failbot	Drip	3	0	5	3
68	stevenshark	Meatflap	3	0	5	3
69	Hunter	Failbot	3	2	5	5
70	stevenshark	Hunter	3	1	5	4
71	GodIMissHer	stevenshark	3	0	5	3
