Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Comeback Edition	25 October 2022	stevenshark	21	40	http://start.gg/tournament/the-comeback-comeback-edition/event/ultimate-singles	https://braacket.com/tournament/1FB0BF26-40E3-4EE2-9397-60FCC42FA924
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Love	Bungy	2	1	3	3
6	Eth	Gigs	2	0	3	2
8	Rush	Soph	2	0	3	2
10	DextheRex	WalMarth	2	1	3	3
14	KittyKrisps	KonVict	2	0	3	2
17	Maya	Love	2	0	3	2
18	BarbNation	Blaze	2	1	3	3
19	stevenshark	Eth	2	0	3	2
20	Drip	Rush	2	0	3	2
21	Ventura	DextheRex	2	0	3	2
22	The Ashen Dragoon	Morgan	2	0	3	2
23	Violet	KittyKrisps	2	0	3	2
24	Sean Sorey	Jackypoo	2	0	3	2
25	BarbNation	Maya	2	1	3	3
26	stevenshark	Drip	2	0	3	2
27	Ventura	The Ashen Dragoon	2	0	3	2
28	Violet	Sean Sorey	2	0	3	2
29	stevenshark	BarbNation	3	0	5	3
30	Ventura	Violet	3	2	5	5
31	stevenshark	Ventura	3	1	5	4
32	stevenshark	Maya	3	2	5	5
43	Jackypoo	Bungy	2	0	3	2
45	Morgan	Gigs	2	0	3	2
46	DextheRex	Soph	2	1	3	3
47	Rush	WalMarth	2	0	3	2
49	Blaze	KonVict	2	0	3	2
51	KittyKrisps	Jackypoo	2	0	3	2
52	Morgan	DextheRex	2	0	3	2
53	Rush	Eth	2	1	3	3
54	Blaze	Love	2	0	3	2
55	Drip	KittyKrisps	2	0	3	2
56	Maya	Morgan	2	0	3	2
57	Sean Sorey	Rush	2	0	3	2
58	The Ashen Dragoon	Blaze	2	0	3	2
59	Maya	Drip	3	1	5	4
60	Sean Sorey	The Ashen Dragoon	3	2	5	5
61	Maya	Violet	3	1	5	4
62	Sean Sorey	BarbNation	3	0	5	3
63	Maya	Sean Sorey	3	1	5	4
64	Maya	Ventura	3	0	5	3
