Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Ultimate Barcadian	25 September 2022	Dadzie	102	188	http://start.gg/tournament/the-ultimate-barcadian/event/arcadian-singles	https://braacket.com/tournament/233866E7-DAC3-420B-B08C-1C014FEB2206
Set Num	Winner	Loser	WS	LS	Best of	Game
2	REAVER	Preeminent	2	1	3	3
3	DREWGANGOD	Daddy Dan	2	1	3	3
4	Blaze	Nagoob	2	0	3	2
8	studentX	Nooper	2	0	3	2
10	trapgum	Divine	2	0	3	2
12	Rush	CD	2	0	3	2
14	Fil	Buwaud	2	0	3	2
16	Natchy	HYPERS	2	0	3	2
18	Starmfruit	Zenon	2	0	3	2
19	Shaeffen	math	2	0	3	2
20	Cranky	m_kao	2	0	3	2
22	Kahuza	Flax	2	0	3	2
24	Treyara	MacSlaya	2	0	3	2
26	lunchtime	Thom	2	1	3	3
27	Alphamew	PJ	2	0	3	2
28	Flats	Quank	2	1	3	3
30	señorguava	Gay Plant	2	1	3	3
32	SeanVGM	Eth	2	0	3	2
34	GamesWithBob	Royal (Melee)	2	1	3	3
35	KittyKrisps	Jibca	2	0	3	2
36	GAY LORD	bunbun	2	0	3	2
40	Spritemare	Jaxtaxman	2	0	3	2
42	//JumpMan//	Gummy	2	0	3	2
44	Mistral	geeb	2	0	3	2
48	Senam	Flinzul	2	0	3	2
50	GE3SEU	ETossed	2	0	3	2
51	Daxe	Gigs	2	0	3	2
52	Gwishin	JacobMak	2	0	3	2
54	Morgan	LumbieUwU	2	0	3	2
56	WEET THINS	dabe	2	0	3	2
58	TacTac	JadeBlade	2	1	3	3
59	Bubswah	smkybear15	2	0	3	2
60	Sanguine	Lamonster	2	0	3	2
62	Jackypoo	GinroDino	2	0	3	2
64	ori0n	Cheeto	2	0	3	2
65	Dadzie	REAVER	2	0	3	2
66	Blaze	DREWGANGOD	2	0	3	2
67	Zeboz	The Ashen Dragoon	2	0	3	2
68	Carrfam	studentX	2	1	3	3
69	AllDay	trapgum	2	0	3	2
70	Hype2Hard	Rush	2	0	3	2
71	Raven	Fil	2	0	3	2
72	BarbNation	Natchy	2	1	3	3
73	Aura Wolf	Starmfruit	2	0	3	2
74	Shaeffen	Cranky	2	0	3	2
75	Kahuza	awert	2	0	3	2
76	VinnyTea	Treyara	2	0	3	2
77	Kareem	lunchtime	2	0	3	2
78	Alphamew	Flats	2	1	3	3
79	Capital G	señorguava	2	0	3	2
81	LazyZach	GamesWithBob	2	0	3	2
82	GAY LORD	KittyKrisps	2	0	3	2
83	MilkTea	sans.	2	1	3	3
84	Sean Sorey	Spritemare	2	0	3	2
85	Chess	//JumpMan//	2	0	3	2
86	Mistral	Shrumble	2	0	3	2
87	Ehis	NARD	2	0	3	2
88	DNA	Senam	2	1	3	3
89	Vomit	GE3SEU	2	1	3	3
90	Gwishin	Daxe	2	1	3	3
91	Disco	Morgan	2	1	3	3
92	Yungsavage	WEET THINS	2	0	3	2
93	Meatflap	TacTac	2	0	3	2
94	Bubswah	Sanguine	2	1	3	3
95	Drip	Jackypoo	2	0	3	2
96	Fette	ori0n	2	0	3	2
97	Dadzie	Blaze	2	0	3	2
98	Carrfam	Zeboz	2	1	3	3
99	AllDay	Hype2Hard	2	0	3	2
100	BarbNation	Raven	2	1	3	3
101	Aura Wolf	Shaeffen	2	0	3	2
102	Kahuza	VinnyTea	2	0	3	2
103	Kareem	Alphamew	2	0	3	2
104	Capital G	SeanVGM	2	0	3	2
105	LazyZach	GAY LORD	2	0	3	2
106	Sean Sorey	MilkTea	2	0	3	2
107	Chess	Mistral	2	0	3	2
108	Ehis	DNA	2	0	3	2
109	Vomit	Gwishin	2	0	3	2
110	Yungsavage	Disco	2	1	3	3
111	Meatflap	Bubswah	2	0	3	2
112	Drip	Fette	2	0	3	2
113	Dadzie	Carrfam	2	0	3	2
114	BarbNation	AllDay	2	0	3	2
115	Kahuza	Aura Wolf	2	0	3	2
116	Kareem	Capital G	2	0	3	2
117	LazyZach	Sean Sorey	2	0	3	2
118	Chess	Ehis	2	0	3	2
119	Vomit	Yungsavage	2	0	3	2
120	Meatflap	Drip	2	1	3	3
121	Dadzie	BarbNation	2	0	3	2
122	Kareem	Kahuza	2	0	3	2
123	LazyZach	Chess	2	0	3	2
124	Vomit	Meatflap	2	0	3	2
125	Dadzie	Kareem	3	1	5	4
126	LazyZach	Vomit	3	0	5	3
127	Dadzie	LazyZach	3	1	5	4
128	Dadzie	LazyZach	3	1	5	4
168	Daddy Dan	Nagoob	2	0	3	2
176	m_kao	math	2	0	3	2
180	Quank	PJ	2	1	3	3
184	Jibca	bunbun	2	0	3	2
192	JacobMak	Gigs	2	1	3	3
196	Lamonster	smkybear15	2	0	3	2
199	ori0n	Preeminent	2	0	3	2
200	Daddy Dan	Jackypoo	2	1	3	3
202	Nooper	TacTac	2	1	3	3
203	Divine	WEET THINS	2	1	3	3
204	Morgan	CD	2	0	3	2
205	Daxe	Buwaud	2	0	3	2
206	GE3SEU	HYPERS	2	0	3	2
207	Senam	Zenon	2	0	3	2
208	NARD	m_kao	2	0	3	2
209	Shrumble	Flax	2	1	3	3
210	//JumpMan//	MacSlaya	2	0	3	2
211	Spritemare	Thom	2	0	3	2
212	Quank	sans.	2	0	3	2
213	KittyKrisps	Gay Plant	2	0	3	2
216	señorguava	Jibca	2	0	3	2
218	lunchtime	Jaxtaxman	2	0	3	2
219	Treyara	Gummy	2	0	3	2
224	Fil	JacobMak	2	1	3	3
225	Rush	LumbieUwU	2	0	3	2
226	trapgum	dabe	2	0	3	2
227	studentX	JadeBlade	2	1	3	3
228	The Ashen Dragoon	Lamonster	2	0	3	2
229	DREWGANGOD	GinroDino	2	0	3	2
230	REAVER	Cheeto	2	0	3	2
231	Daddy Dan	ori0n	2	0	3	2
232	Sanguine	Nooper	2	0	3	2
233	Morgan	Divine	2	1	3	3
234	Daxe	GE3SEU	2	1	3	3
235	Senam	NARD	2	0	3	2
236	Shrumble	//JumpMan//	2	0	3	2
237	Spritemare	Quank	2	1	3	3
