Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC #46	12 December 2022	Meatflap	27	52	http://start.gg/tournament/umec-46-1/event/ultimate-singles	https://braacket.com/tournament/19821450-DE9E-4737-9105-EFAB3EE533A6
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Morgan	FriedBagel	2	0	3	2
3	BarbNation	Smasher	2	0	3	2
4	Sanguine	Phwii	2	0	3	2
6	lunchtime	Hellfire	2	0	3	2
8	Spritemare	Big Koocher	2	0	3	2
10	Eth	Pignite	2	1	3	3
11	sans.	ItsSunsett	2	0	3	2
12	Yungsavage	Greta	2	0	3	2
14	Divine	A Shape	2	1	3	3
15	Ehis	Zenon	2	1	3	3
16	Blaze	munch glue	2	0	3	2
17	Violet	Morgan	2	0	3	2
18	BarbNation	Sanguine	2	1	3	3
19	Meatflap	lunchtime	2	0	3	2
20	Sean Sorey	Spritemare	2	0	3	2
21	Dadzie	Eth	2	0	3	2
22	Yungsavage	sans.	2	0	3	2
23	Aurokon	Divine	2	1	3	3
24	Ehis	Blaze	2	0	3	2
25	Violet	BarbNation	2	1	3	3
26	Meatflap	Sean Sorey	2	0	3	2
27	Dadzie	Yungsavage	2	1	3	3
28	Ehis	Aurokon	2	0	3	2
29	Meatflap	Violet	3	1	5	4
30	Dadzie	Ehis	3	0	5	3
31	Meatflap	Dadzie	3	0	5	3
32	Meatflap	Dadzie	3	2	5	5
45	Smasher	Phwii	2	0	3	2
49	Greta	ItsSunsett	2	1	3	3
51	Zenon	munch glue	2	0	3	2
52	Blaze	FriedBagel	2	0	3	2
53	Divine	Smasher	2	1	3	3
54	sans.	Hellfire	2	0	3	2
55	Eth	Big Koocher	2	0	3	2
56	Pignite	Spritemare	2	0	3	2
57	lunchtime	Greta	2	0	3	2
58	Sanguine	A Shape	2	0	3	2
59	Zenon	Morgan	2	1	3	3
60	Blaze	Divine	2	0	3	2
61	sans.	Eth	2	0	3	2
62	Pignite	lunchtime	2	0	3	2
63	Sanguine	Zenon	2	0	3	2
64	Sean Sorey	Blaze	2	0	3	2
65	BarbNation	sans.	2	1	3	3
66	Aurokon	Pignite	2	0	3	2
67	Sanguine	Yungsavage	2	1	3	3
68	Sean Sorey	BarbNation	3	1	5	4
69	Aurokon	Sanguine	3	0	5	3
70	Sean Sorey	Ehis	3	2	5	5
71	Aurokon	Violet	3	2	5	5
72	Aurokon	Sean Sorey	3	2	5	5
73	Dadzie	Aurokon	3	2	5	5
