Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC Monthly #1	11 September 2022	GodIMissHer	21	41	http://start.gg/tournament/umec-monthly-1/event/ultimate-singles	https://braacket.com/tournament/BBA797B0-DAA0-4022-9B52-5A8828373566
Set Num	Winner	Loser	WS	LS	Best of	Game
2	dabe	Hellfire	2	0	3	2
6	Zenon	Teejismyname	2	1	3	3
8	A_N	Eth	2	0	3	2
10	RisingWalsh	RedLion19	2	0	3	2
14	Gamespeer	Jolteon Dreamer	2	0	3	2
17	GodIMissHer	dabe	2	0	3	2
18	Yungsavage	Pignite	2	1	3	3
19	Violet	Zenon	2	1	3	3
20	AllDay	A_N	2	0	3	2
21	Truth	RisingWalsh	2	0	3	2
22	BarbNation	Sean Sorey	2	1	3	3
23	Thor	Gamespeer	2	0	3	2
24	Blaze	The Ashen Dragoon	2	0	3	2
25	GodIMissHer	Yungsavage	2	0	3	2
26	AllDay	Violet	2	0	3	2
27	Truth	BarbNation	2	0	3	2
28	Thor	Blaze	2	0	3	2
29	GodIMissHer	AllDay	3	1	5	4
30	Truth	Thor	3	0	5	3
31	Truth	GodIMissHer	3	2	5	5
32	GodIMissHer	Truth	3	0	5	3
33	GodIMissHer	Truth	3	1	5	4
44	The Ashen Dragoon	Hellfire	2	0	3	2
46	Sean Sorey	Teejismyname	2	0	3	2
47	Eth	RisingWalsh	2	1	3	3
48	A_N	RedLion19	2	0	3	2
50	Pignite	Jolteon Dreamer	2	1	3	3
52	The Ashen Dragoon	Gamespeer	2	0	3	2
53	Sean Sorey	Eth	2	0	3	2
54	A_N	Zenon	2	0	3	2
55	Pignite	dabe	2	1	3	3
56	Violet	The Ashen Dragoon	2	0	3	2
57	Sean Sorey	Yungsavage	2	1	3	3
58	A_N	Blaze	2	0	3	2
59	BarbNation	Pignite	2	0	3	2
60	Violet	Sean Sorey	3	0	5	3
61	BarbNation	A_N	3	0	5	3
62	Thor	Violet	3	2	5	5
63	AllDay	BarbNation	3	0	5	3
64	Thor	AllDay	3	0	5	3
65	GodIMissHer	Thor	3	0	5	3
