Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #57	03 February 2023	GodIMissHer	45	89	http://start.gg/tournament/advantage-state-57/event/ultimate-singles	https://braacket.com/tournament/197CDDA0-DC45-4FEB-B4F9-4349533EEDF5
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Natchy	Ragnarok	2	0	3	2
6	TG_Link	CdTug	2	0	3	2
8	Gilgamesh	SaintCD	2	0	3	2
10	Gummy	Dungeon Connor	2	0	3	2
12	Tungsten'	BigJayhawk	2	0	3	2
14	lumenessence	JGoose	2	0	3	2
16	thrill	lotuskosal	2	0	3	2
18	PackJendleton	Razzi	2	0	3	2
22	Privé	Little McGlitch	2	0	3	2
24	Spritemare	soulrack	2	0	3	2
26	studentX	A Shape	2	1	3	3
30	Eth	Nordic bard	2	0	3	2
32	Wilk	joey	2	0	3	2
33	GodIMissHer	Natchy	2	0	3	2
34	Blaze	Rush	2	0	3	2
35	Kareem	TG_Link	2	0	3	2
36	Mistral	Gilgamesh	2	0	3	2
37	Violet	Gummy	2	0	3	2
38	Phantom	Tungsten'	2	1	3	3
39	TRAIN	lumenessence	3	1	5	4
40	thrill	Senam	2	0	3	2
41	Truth	PackJendleton	2	0	3	2
42	ADDICT	awert	2	0	3	2
43	Disco	Privé	2	0	3	2
44	Spritemare	Capital G	2	0	3	2
45	Vivian	studentX	2	0	3	2
46	Limbo	Abnormal	2	1	3	3
47	Meatflap	Eth	2	0	3	2
48	Wilk	sans.	2	0	3	2
49	GodIMissHer	Blaze	2	1	3	3
50	Kareem	Mistral	2	1	3	3
51	Violet	Phantom	2	1	3	3
52	TRAIN	thrill	2	0	3	2
53	Truth	ADDICT	2	1	3	3
54	Disco	Spritemare	2	0	3	2
55	Vivian	Limbo	2	0	3	2
56	Meatflap	Wilk	2	0	3	2
57	GodIMissHer	Kareem	2	1	3	3
58	TRAIN	Violet	2	0	3	2
59	Truth	Disco	2	0	3	2
60	Vivian	Meatflap	2	0	3	2
61	GodIMissHer	TRAIN	3	2	5	5
62	Truth	Vivian	3	2	5	5
63	Truth	GodIMissHer	3	1	5	4
64	GodIMissHer	Truth	3	0	5	3
65	GodIMissHer	Truth	3	1	5	4
92	sans.	Ragnarok	2	0	3	2
94	Abnormal	CdTug	2	0	3	2
95	studentX	SaintCD	2	0	3	2
96	Capital G	Dungeon Connor	2	0	3	2
97	BigJayhawk	Privé	2	0	3	2
98	awert	JGoose	2	0	3	2
99	PackJendleton	lotuskosal	2	1	3	3
100	Senam	Razzi	2	0	3	2
102	Tungsten'	Little McGlitch	2	0	3	2
103	Gummy	soulrack	2	1	3	3
104	A Shape	Gilgamesh	2	1	3	3
106	Rush	Nordic bard	2	0	3	2
107	Natchy	joey	2	0	3	2
108	Eth	sans.	2	0	3	2
109	studentX	Abnormal	2	0	3	2
110	Capital G	BigJayhawk	2	1	3	3
111	awert	PackJendleton	2	0	3	2
112	Senam	lumenessence	2	0	3	2
113	Tungsten'	Gummy	2	0	3	2
114	A Shape	TG_Link	2	0	3	2
115	Natchy	Rush	2	1	3	3
116	Eth	thrill	2	0	3	2
117	Phantom	studentX	2	1	3	3
118	Mistral	Capital G	2	0	3	2
119	awert	Blaze	2	0	3	2
120	Senam	Wilk	2	0	3	2
121	Limbo	Tungsten'	2	1	3	3
122	Spritemare	A Shape	2	0	3	2
123	ADDICT	Natchy	2	1	3	3
124	Phantom	Eth	2	0	3	2
125	Mistral	awert	2	0	3	2
126	Limbo	Senam	2	0	3	2
127	ADDICT	Spritemare	2	0	3	2
128	Phantom	Disco	2	0	3	2
129	Mistral	Meatflap	2	0	3	2
130	Kareem	Limbo	2	1	3	3
131	Violet	ADDICT	2	0	3	2
132	Mistral	Phantom	3	0	5	3
133	Violet	Kareem	3	1	5	4
134	TRAIN	Mistral	3	1	5	4
135	Violet	Vivian	3	1	5	4
136	Violet	TRAIN	3	0	5	3
137	GodIMissHer	Violet	3	1	5	4
