Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Granite City Smash @ LGS #34	09 January 2023	HeroAwesome	19	37	http://start.gg/tournament/granite-city-smash-lgs-34/event/ultimate-singles	https://braacket.com/tournament/C63AA01C-2C2F-4405-964A-86CC007D8051
Set Num	Winner	Loser	WS	LS	Best of	Game	**MULTIPLE BRACKET PHASES**
1	Erin	peparony	3	2	5	5
2	Coolbeans	McNutty	2	0	3	2
2	HeroAwesome	Neet	3	1	5	4
3	Erin	HeroAwesome	3	1	5	4
4	HeroAwesome	Erin	3	2	5	5
5	HeroAwesome	Erin	3	0	5	3
10	grant	Ben10	2	0	3	2
10	Shrumble	Bunny5001	3	0	5	3
11	Boolahan	Dole Dips	3	2	5	5
12	Neet	Shrumble	3	0	5	3
13	peparony	Boolahan	3	0	5	3
14	Trickster	Cheez	2	0	3	2
14	peparony	Neet	3	2	5	5
15	HeroAwesome	peparony	3	0	5	3
17	Erin	Coolbeans	2	0	3	2
18	Bunny5001	Rexdamage	2	1	3	3
19	peparony	blrasmu	2	0	3	2
20	Shrumble	XX17	2	0	3	2
21	HeroAwesome	grant	2	0	3	2
22	Boolahan	Retro	2	0	3	2
23	Neet	Trickster	2	0	3	2
24	Dole Dips	Pickl	2	0	3	2
25	Erin	Bunny5001	2	0	3	2
26	peparony	Shrumble	2	1	3	3
27	HeroAwesome	Boolahan	2	1	3	3
28	Neet	Dole Dips	2	1	3	3
35	Pickl	McNutty	2	0	3	2
39	XX17	Ben10	2	0	3	2
41	Rexdamage	Cheez	2	0	3	2
43	Pickl	Trickster	2	1	3	3
44	Retro	grant	2	0	3	2
45	XX17	blrasmu	2	0	3	2
46	Rexdamage	Coolbeans	2	1	3	3
47	Shrumble	Pickl	2	0	3	2
48	Bunny5001	Retro	2	1	3	3
49	Dole Dips	XX17	2	1	3	3
50	Boolahan	Rexdamage	2	1	3	3
