Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #43	13 February 2023	Truth	31	60	http://start.gg/tournament/inver-grove-fights-43/event/ultimate-singles	https://braacket.com/tournament/1AC19E7A-6A3B-4E5B-8A03-81268DAA411F
Set Num	Winner	Loser	WS	LS	Best of	Game
2	trippybutter	Zimri	2	1	3	3
3	Yungsavage	vanbungle	2	1	3	3
4	Spritemare	Gummy	2	0	3	2
5	Kareem	TheWeldo	2	0	3	2
6	JStrudel	Mega	2	0	3	2
7	Drip	magnum_mon	2	0	3	2
8	Rush	Gains	2	0	3	2
9	Violet	Fblthp	2	0	3	2
10	sans.	Wagon	2	1	3	3
11	M0ns00n	Phantom	2	1	3	3
12	Flax	Ms.woMAN	2	0	3	2
13	aidan	Neet	2	1	3	3
14	Tungsten'	WalMarth	2	0	3	2
15	Dadzie	Clavual	2	0	3	2
16	Blaze	bang	2	0	3	2
17	Truth	trippybutter	2	0	3	2
18	Yungsavage	Spritemare	2	1	3	3
19	Kareem	JStrudel	2	0	3	2
20	Drip	Rush	2	0	3	2
21	Violet	sans.	2	0	3	2
22	Flax	M0ns00n	2	0	3	2
23	aidan	Tungsten'	2	1	3	3
24	Dadzie	Blaze	2	0	3	2
25	Truth	Yungsavage	2	0	3	2
26	Kareem	Drip	2	0	3	2
27	Violet	Flax	2	1	3	3
28	Dadzie	aidan	2	0	3	2
29	Truth	Kareem	3	0	5	3
30	Violet	Dadzie	3	2	5	5
31	Truth	Violet	3	2	5	5
32	Truth	Violet	3	0	5	3
49	Gummy	vanbungle	2	0	3	2
50	TheWeldo	Mega	2	0	3	2
51	magnum_mon	Gains	2	0	3	2
52	Fblthp	Wagon	2	0	3	2
53	Phantom	Ms.woMAN	2	0	3	2
54	Neet	WalMarth	2	0	3	2
55	Clavual	bang	2	0	3	2
56	Blaze	Zimri	2	0	3	2
57	Tungsten'	Gummy	2	0	3	2
58	M0ns00n	TheWeldo	2	0	3	2
59	sans.	magnum_mon	2	1	3	3
60	Rush	Fblthp	2	1	3	3
61	Phantom	JStrudel	2	0	3	2
62	Neet	Spritemare	2	0	3	2
63	trippybutter	Clavual	2	0	3	2
64	Blaze	Tungsten'	2	0	3	2
65	M0ns00n	sans.	2	1	3	3
66	Phantom	Rush	2	0	3	2
67	Neet	trippybutter	2	0	3	2
68	Drip	Blaze	2	1	3	3
69	Yungsavage	M0ns00n	2	0	3	2
70	Phantom	aidan	2	1	3	3
71	Neet	Flax	2	0	3	2
72	Drip	Yungsavage	3	0	5	3
73	Neet	Phantom	3	0	5	3
74	Dadzie	Drip	3	2	5	5
75	Kareem	Neet	3	1	5	4
76	Dadzie	Kareem	3	2	5	5
77	Violet	Dadzie	3	1	5	4
