Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #4	11 February 2023	Truth	21	39	http://start.gg/tournament/leveling-lug-4/event/ultimate-singles	https://braacket.com/tournament/A0FED2A7-2FE6-44B5-901B-67E203B4A4A6
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Gummy	Animedurag	2	1	3	3
6	Maynnaise	Rivkalia	2	0	3	2
8	sans.	Tekk	2	1	3	3
10	Young Night Train	Storm	2	0	3	2
14	Alm#0420	BIG PHARMA	2	0	3	2
17	Truth	Gummy	2	0	3	2
18	Blaze	Yungsavage	2	1	3	3
19	Ehis	Maynnaise	2	1	3	3
20	ADDICT	sans.	2	0	3	2
21	Thor	Young Night Train	2	0	3	2
22	Chan	Limbo	2	0	3	2
23	Mistral	Alm#0420	2	0	3	2
24	BarbNation	awert	2	0	3	2
25	Truth	Blaze	2	0	3	2
26	Ehis	ADDICT	2	1	3	3
27	Chan	Thor	2	1	3	3
28	Mistral	BarbNation	2	0	3	2
29	Truth	Ehis	3	2	5	5
30	Mistral	Chan	3	2	5	5
31	Truth	Mistral	3	1	5	4
32	Truth	Mistral	3	1	5	4
43	awert	Animedurag	2	0	3	2
45	Limbo	Rivkalia	2	0	3	2
46	Tekk	Young Night Train	2	1	3	3
47	Storm	sans.	2	0	3	2
49	Yungsavage	BIG PHARMA	2	0	3	2
51	awert	Alm#0420	2	0	3	2
52	Limbo	Tekk	2	0	3	2
54	Yungsavage	Gummy	2	1	3	3
55	ADDICT	awert	2	0	3	2
56	Limbo	Blaze	2	0	3	2
57	BarbNation	Storm	2	0	3	2
58	Yungsavage	Thor	2	1	3	3
59	Limbo	ADDICT	3	2	5	5
60	BarbNation	Yungsavage	3	0	5	3
61	Limbo	Chan	3	2	5	5
62	Ehis	BarbNation	3	2	5	5
63	Ehis	Limbo	3	0	5	3
64	Mistral	Ehis	3	2	5	5
