Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Sleet & Beat	20 February 2023	GodIMissHer	70	131	http://start.gg/tournament/sleet-beat/event/ultimate-singles-1	https://braacket.com/tournament/6C50CED7-65FE-4F68-9EFA-4943E58DAE87
Set Num	Winner	Loser	WS	LS	Best of	Game	**MULTIPLE BRACKET PHASES**
1	GodIMissHer	peparony	3	0	5	3
2	SOGMonkey	LeBowlinFan	2	1	3	3
2	Maya	HeroAwesome	3	1	5	4
3	LazyZach	Shaeffen	3	0	5	3
4	Failbot	Stealth_Pilot	3	1	5	4
5	GodIMissHer	Maya	3	0	5	3
6	Failbot	LazyZach	3	1	5	4
7	GodIMissHer	Failbot	3	2	5	5
8	GodIMissHer	Failbot	3	1	5	4
10	1-800-BELL	Lynn	2	0	3	2
17	Jake Fox	Faucet	3	2	5	5
18	Hollywood	Bowie124	2	0	3	2
18	MilkTea	Reverbo	3	1	5	4
19	Erin	Dole Dips	3	0	5	3
20	kogame	Treyara	3	2	5	5
21	Stealth_Pilot	Jake Fox	3	0	5	3
22	MilkTea	Shaeffen	3	2	5	5
23	Erin	HeroAwesome	3	1	5	4
24	peparony	kogame	3	1	5	4
25	Stealth_Pilot	MilkTea	3	0	5	3
26	The Legend	Torelly	2	0	3	2
26	Erin	peparony	3	0	5	3
27	Stealth_Pilot	Maya	3	0	5	3
28	Erin	LazyZach	3	2	5	5
29	Erin	Stealth_Pilot	3	1	5	4
30	Failbot	Erin	3	0	5	3
33	GodIMissHer	SOGMonkey	2	0	3	2
34	Cheezy	FriedBagel	2	0	3	2
35	MilkTea	Skyfox	2	0	3	2
36	Faucet	Boolahan	2	1	3	3
37	peparony	1-800-BELL	2	0	3	2
38	ElectricMuffin	Vertiar	2	0	3	2
39	Jake Fox	Bread (Bemidji)	2	0	3	2
40	WEET THINS	Flom	2	0	3	2
41	HeroAwesome	Hollywood	2	0	3	2
42	SULRoY	Grem	2	0	3	2
43	Reverbo	Squilly	2	0	3	2
44	Fette	Monke	2	0	3	2
45	Maya	The Legend	2	0	3	2
46	Buster	Generic	2	0	3	2
47	TheVP	Zulo	2	0	3	2
48	XX17	Llama	2	1	3	3
49	GodIMissHer	Cheezy	2	0	3	2
50	Faucet	MilkTea	2	0	3	2
51	peparony	ElectricMuffin	2	0	3	2
52	Jake Fox	WEET THINS	2	1	3	3
53	HeroAwesome	SULRoY	2	0	3	2
54	Reverbo	Fette	2	1	3	3
55	Maya	Buster	2	0	3	2
56	TheVP	XX17	2	0	3	2
57	GodIMissHer	Faucet	2	0	3	2
58	peparony	Jake Fox	2	1	3	3
59	HeroAwesome	Reverbo	2	1	3	3
60	Maya	TheVP	2	0	3	2
69	Llama	LeBowlinFan	2	1	3	3
73	Monke	Lynn	2	0	3	2
77	Flom	Bowie124	2	0	3	2
81	Boolahan	Torelly	2	0	3	2
85	Zulo	Llama	2	1	3	3
86	Generic	The Legend	2	1	3	3
87	Monke	Squilly	2	0	3	2
88	Hollywood	Grem	2	0	3	2
89	Flom	Bread (Bemidji)	2	1	3	3
90	Vertiar	1-800-BELL	2	0	3	2
91	Skyfox	Boolahan	2	1	3	3
92	FriedBagel	SOGMonkey	2	0	3	2
93	Zulo	WEET THINS	2	0	3	2
94	Generic	ElectricMuffin	2	0	3	2
95	MilkTea	Monke	2	0	3	2
96	Hollywood	Cheezy	2	0	3	2
97	Flom	XX17	2	1	3	3
98	Buster	Vertiar	2	0	3	2
99	Fette	Skyfox	2	0	3	2
100	SULRoY	FriedBagel	2	0	3	2
101	Zulo	Generic	2	1	3	3
102	MilkTea	Hollywood	2	1	3	3
103	Buster	Flom	2	0	3	2
104	SULRoY	Fette	2	0	3	2
105	Reverbo	Zulo	2	0	3	2
106	MilkTea	TheVP	2	1	3	3
107	Faucet	Buster	2	1	3	3
108	Jake Fox	SULRoY	2	1	3	3
110	C_Pap	Big-Al	2	0	3	2
126	Beetle	Ryan	2	0	3	2
141	Erin	C_Pap	2	0	3	2
143	Curly	Odinson	2	0	3	2
145	LazyZach	duck	2	0	3	2
146	Bread (Saint Cloud)	Beatle	2	0	3	2
147	Dole Dips	Mr.Cookie	2	0	3	2
149	Failbot	Beetle	2	0	3	2
150	Bunny5001	Snail	2	0	3	2
151	Treyara	Overlord_K	2	0	3	2
152	lunchtime	Joe Mama	2	0	3	2
153	Stealth_Pilot	Effect	2	0	3	2
154	Spritemare	Quank	2	1	3	3
155	Aura Wolf	Seeker259	2	0	3	2
156	kogame	Auxillary	2	0	3	2
157	Erin	Bingus	2	0	3	2
158	Shaeffen	Curly	2	0	3	2
159	LazyZach	Bread (Saint Cloud)	2	0	3	2
160	Dole Dips	ori0n	2	0	3	2
161	Failbot	Bunny5001	2	1	3	3
