Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #45	14 March 2023	Maya	12	22	http://start.gg/tournament/the-comeback-45/event/ultimate-singles	https://braacket.com/tournament/228979B6-A101-486A-AADE-73047E5F0025
Set Num	Winner	Loser	WS	LS	Best of	Game
2	sans.	Kigorian	2	0	3	2
4	Drip	Kelkador	2	0	3	2
6	Sean Sorey	Crime Sunday	2	1	3	3
8	Franzwa	D34D_M4N14C	2	0	3	2
9	Thor	sans.	2	0	3	2
10	Neet	Drip	2	0	3	2
11	Maya	Sean Sorey	2	0	3	2
12	Hunter	Franzwa	2	1	3	3
13	Thor	Neet	3	1	5	4
14	Maya	Hunter	3	2	5	5
15	Maya	Thor	3	0	5	3
16	Maya	Thor	3	1	5	4
25	Franzwa	Kigorian	2	0	3	2
26	Sean Sorey	Kelkador	2	0	3	2
27	Drip	Crime Sunday	2	0	3	2
28	D34D_M4N14C	sans.	2	0	3	2
29	Franzwa	Sean Sorey	3	1	5	4
30	Drip	D34D_M4N14C	3	1	5	4
31	Neet	Franzwa	3	1	5	4
32	Hunter	Drip	3	0	5	3
33	Hunter	Neet	3	0	5	3
34	Thor	Hunter	3	1	5	4
