Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Birthday Edition [$100 POT BONUS]	07 March 2023	Vivian	34	67	http://start.gg/tournament/the-comeback-birthday-edition-100-pot-bonus/event/ultimate-singles	https://braacket.com/tournament/C4BEF74E-3EAB-4C6E-8AEC-7B0CAE9A31FF
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Ray	Kevin	2	1	3	3
18	vanbungle	Tephers	2	0	3	2
33	Vivian	Ray	2	0	3	2
34	Deus	GAY LORD	2	0	3	2
35	Kareem	trippybutter	2	1	3	3
36	Drip	sans.	2	0	3	2
37	Truth	Goomba	2	0	3	2
38	Chan	Crime Sunday	2	0	3	2
39	Stealth_Pilot	Lacoixboi	2	0	3	2
40	Ehis	bokobo	2	1	3	3
41	Lucky	vanbungle	2	0	3	2
42	BarbNation	Faucet	2	1	3	3
43	Hunter	The Football	2	0	3	2
44	Dadzie	ms.birb	2	0	3	2
45	Failbot	Smoke	2	0	3	2
46	Sean Sorey	JStrudel	2	0	3	2
47	Maya	Phrog	2	0	3	2
48	Thor	Eth	2	0	3	2
49	Vivian	Deus	2	0	3	2
50	Drip	Kareem	2	0	3	2
51	Chan	Truth	2	0	3	2
52	Ehis	Stealth_Pilot	2	1	3	3
53	Lucky	BarbNation	2	0	3	2
54	Dadzie	Hunter	2	1	3	3
55	Failbot	Sean Sorey	2	0	3	2
56	Maya	Thor	2	0	3	2
57	Vivian	Drip	2	0	3	2
58	Ehis	Chan	2	0	3	2
59	Lucky	Dadzie	2	0	3	2
60	Maya	Failbot	2	1	3	3
61	Vivian	Ehis	3	1	5	4
62	Lucky	Maya	3	1	5	4
63	Vivian	Lucky	3	2	5	5
64	Failbot	Vivian	3	2	5	5
65	Vivian	Failbot	3	0	5	3
70	Eth	Kevin	2	0	3	2
78	bokobo	Tephers	2	0	3	2
86	Phrog	Eth	2	0	3	2
87	JStrudel	Smoke	2	0	3	2
88	ms.birb	The Football	2	0	3	2
89	Faucet	vanbungle	2	0	3	2
90	bokobo	Lacoixboi	2	0	3	2
91	Crime Sunday	Goomba	2	0	3	2
92	sans.	trippybutter	2	0	3	2
93	GAY LORD	Ray	2	0	3	2
94	Stealth_Pilot	Phrog	2	0	3	2
95	Truth	JStrudel	2	0	3	2
96	Kareem	ms.birb	2	0	3	2
97	Deus	Faucet	2	1	3	3
98	Thor	bokobo	2	0	3	2
99	Sean Sorey	Crime Sunday	2	0	3	2
100	Hunter	sans.	2	0	3	2
101	BarbNation	GAY LORD	2	0	3	2
102	Stealth_Pilot	Truth	2	1	3	3
103	Kareem	Deus	2	0	3	2
104	Thor	Sean Sorey	2	1	3	3
105	Hunter	BarbNation	2	0	3	2
106	Dadzie	Stealth_Pilot	2	0	3	2
107	Failbot	Kareem	2	0	3	2
108	Thor	Drip	2	0	3	2
109	Hunter	Chan	2	0	3	2
110	Failbot	Dadzie	3	0	5	3
111	Thor	Hunter	3	1	5	4
112	Failbot	Ehis	3	1	5	4
113	Thor	Maya	3	2	5	5
114	Failbot	Thor	3	0	5	3
115	Failbot	Lucky	3	1	5	4
